"acceleration","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14"
5.7,"nominal2","nominal7",5439,260,"nominal9",6.3,0.629,2.9,4.2,250,0.95,34.9,50.2,2.341
5.7,"nominal3","nominal7",4172,250,"nominal9",6.9,0.748,9999,4.1,250,0.92,27.5,38.8,3.1
5.7,"nominal3","nominal7",2671,195,"nominal9",7.9,0.629,9999,3.9,250,1.47,14.9,41.2,2.812
5.7,"nominal2","nominal7",3996,267,"nominal9",6.7,9999,9999,9999,250,0.832,40.6,48.8,2.5
5.7,"nominal2","nominal7",3239,250,"nominal9",6.8,9999,9999,9999,266,1.35,28.5,44.7,2.673
5.7,"nominal2","nominal7",3239,250,"nominal9",7,9999,9999,9999,266,1,40.8,46.2,2.584
5.7,"nominal2","nominal7",5341,260,"nominal9",7.5,9999,9999,9999,266,0.959,56,46.2,2.822
5.7,"nominal3","nominal7",2972,210,"nominal9",8.2,0.65,9999,9999,250,0.81,27.8,51.4,2.339
5.8,"nominal2","nominal7",3217,247,"nominal9",6.7,9999,9999,9999,270,1.14,36.9,41.6,2.763
5.8,"nominal2","nominal7",3217,247,"nominal9",6.8,9999,9999,9999,265,0.955,54.3,43.4,2.652
5.8,"nominal2","nominal7",3947,168,"nominal9",6.5,9999,9999,9999,235,0.935,43.5,45.7,2.615
5.8,"nominal3","nominal7",4172,250,"nominal9",7.2,0.748,9999,4.2,250,0.92,27.5,38.8,3.1
5.8,"nominal3","nominal7",2671,195,"nominal9",8.1,0.653,9999,4,250,1.47,14.9,41.2,2.812
5.9,"nominal2","nominal7",3179,185,"nominal9",7,0.618,9999,9999,260,1.33,39.9,40.3,2.893
5.9,"nominal2","nominal7",2790,206,"nominal9",7.5,9999,9999,9999,260,1.41,29.3,41.6,2.763
5.9,"nominal2","nominal7",2790,206,"nominal9",7.6,9999,9999,9999,255,1.52,41.6,40.4,2.847
5.9,"nominal2","nominal7",1795,88,"nominal9",7.7,9999,9999,9999,202,0.988,26.9,37.2,3.12
5.9,"nominal2","nominal7",6750,312,"nominal9",7.9,9999,9999,9999,270,1.44,43,64.6,2.18
5.9,"nominal2","nominal7",5439,260,"nominal9",6.7,0.71,3,4.2,250,0.95,34.9,50.2,2.341
6,"nominal2","nominal7",3387,221,"nominal9",6.2,0.582,9999,9999,275,0.944,39.8,42.8,2.7
6,"nominal3","nominal7",3387,221,"nominal9",6.4,0.582,9999,9999,275,0.944,39.8,42.8,2.7
6,"nominal2","nominal7",3239,250,"nominal9",7.1,9999,9999,9999,250,0.972,28.5,44.7,2.673
6,"nominal2","nominal7",3239,250,"nominal9",7.3,9999,9999,9999,250,0.966,40.8,45,2.655
6.1,"nominal2","nominal7",5987,290,"nominal9",6.8,0.63,3.2,4.5,250,0.888,47.6,54.2,2.2
6.2,"nominal2","nominal7",4398,210,"nominal9",7.8,0.673,9999,9999,250,0.94,36.2,51.2,2.332
6.2,"nominal2","nominal7",3387,221,"nominal9",6.5,0.582,9999,9999,275,0.944,39.8,42.8,2.7
6.2,"nominal3","nominal7",3387,221,"nominal9",6.8,0.582,9999,9999,275,0.944,39.8,42.8,2.7
6.2,"nominal2","nominal7",1997,177,"nominal9",7.1,0.692,9999,9999,240,0.83,67.6,34.8,3.321
6.3,"nominal2","nominal7",5786,270,"nominal9",7,0.616,3,4.5,250,9999,9999,9999,2.341
6.3,"nominal2","nominal7",5786,270,"nominal9",7.3,0.621,3,4.5,250,0.97,47.5,50.1,2.341
6.3,"nominal2","nominal7",6750,286,"nominal9",8.6,9999,9999,9999,245,0.947,39.1,64.6,2.18
6.3,"nominal3","nominal7",1994,160,"nominal9",8,0.663,9999,9999,231,0.999,34.5,41.3,2.886
6.3,"nominal2","nominal7",4398,210,"nominal9",8.3,0.716,9999,9999,250,0.94,36.2,51.2,2.332
6.4,"nominal2","nominal7",4266,205,"nominal9",7.2,0.617,3.2,4.7,250,0.826,33.3,52.6,2.2
6.4,"nominal3","nominal7",1781,165,"nominal9",8.5,0.677,9999,4.3,243,1.76,17.7,38.3,3.24
6.4,"nominal2","nominal7",4398,210,"nominal9",7.9,0.673,9999,9999,250,0.871,42.9,53.2,2.248
6.4,"nominal2","nominal7",6750,300,"nominal9",8.7,9999,9999,9999,245,0.947,42,64.6,2.18
6.4,"nominal3","nominal7",1994,160,"nominal9",8.2,0.704,9999,9999,229,0.991,34.5,41.3,2.886
6.5,"nominal2","nominal7",4966,225,"nominal9",8.1,0.65,3.2,4.7,250,0.824,33.8,54.2,2.2
6.5,"nominal2","nominal7",4966,225,"nominal9",7.9,0.621,3.2,4.7,250,0.86,36.6,52.8,2.341
6.5,"nominal2","nominal7",4966,225,"nominal9",8,0.621,3.2,4.7,250,0.86,36.6,52.8,2.341
6.5,"nominal2","nominal7",4966,225,"nominal9",8,0.616,3.1,4.6,250,9999,9999,9999,2.341
6.5,"nominal2","nominal7",4966,220,"nominal9",8.1,0.616,3.1,4.6,250,9999,9999,9999,2.341
6.5,"nominal2","nominal7",3179,185,"nominal9",7.2,0.618,9999,9999,255,0.967,38.4,42.2,2.8
6.5,"nominal1","nominal7",1998,162,"nominal9",8.1,9999,9999,9999,250,1.14,23.7,39.4,2.844
6.5,"nominal1","nominal7",1998,162,"nominal9",8.1,9999,9999,9999,250,0.986,23.7,44.1,2.539
6.5,"nominal2","nominal7",5341,260,"nominal9",7.9,9999,9999,9999,240,0.865,56,46.2,2.822
6.5,"nominal2","nominal7",4398,260,"nominal9",9.2,0.921,9999,9999,240,9999,9999,9999,2.315
6.6,"nominal2","nominal7",4266,205,"nominal9",7.9,0.629,3.2,4.6,250,0.864,35,50.3,2.343
6.6,"nominal3","nominal7",4172,265,"nominal9",6.6,0.653,9999,4.8,250,0.864,31.7,41.4,2.999
6.6,"nominal2","nominal7",2687,162,"nominal9",7.8,0.598,9999,9999,250,0.949,44.1,41.1,2.812
6.7,"nominal3","nominal7",1781,165,"nominal9",8.9,0.716,9999,4.8,237,1.5,17.7,38.3,3.24
6.7,"nominal3","nominal7",4172,250,"nominal9",7,0.748,9999,4.9,250,0.865,31.6,41.3,2.823
6.7,"nominal1","nominal7",2959,162,"nominal9",8.7,9999,9999,9999,240,0.936,47.7,40.7,2.8
6.7,"nominal1","nominal7",2959,162,"nominal9",8.7,9999,9999,9999,250,0.974,47.7,40.7,2.8
6.7,"nominal2","nominal7",3996,209,"nominal9",7.7,9999,9999,9999,251,0.812,45.9,50.7,2.448
6.7,"nominal2","nominal7",6750,286,"nominal9",9.1,9999,9999,9999,241,0.932,39.1,64.6,2.18
6.7,"nominal1","nominal7",1797,140,"nominal9",8,9999,9999,9999,233,1.19,51.5,28.9,3.766
6.7,"nominal2","nominal7",4398,210,"nominal9",8.4,0.716,9999,9999,250,0.871,42.9,53.2,2.248
6.8,"nominal3","nominal7",4266,205,"nominal9",8.3,0.632,3.2,4.8,250,0.94,32.1,46.2,2.551
6.8,"nominal3","nominal7",1781,154,"nominal9",9.1,0.639,9999,4.8,238,1.72,16.9,38.3,3.24
6.8,"nominal2","nominal7",2793,141,"nominal9",9.2,0.677,9999,9999,231,1.186,34.5,36.7,3.2
6.8,"nominal2","nominal7",5379,240,"nominal9",8.3,0.707,9999,9999,250,0.882,49.2,56.7,2.2
6.8,"nominal2","nominal7",5379,240,"nominal9",8.5,0.707,9999,9999,250,0.882,49.2,56.7,2.2
6.8,"nominal1","nominal7",2290,165,"nominal9",8,9999,9999,9999,250,1.6,20.9,42.9,2.673
6.8,"nominal2","nominal7",6750,298,"nominal9",8.5,0.921,9999,9999,249,9999,9999,9999,2.18
6.8,"nominal1","nominal7",4565,224,"nominal9",8.3,9999,9999,9999,240,0.83,50.5,49.8,2.527
6.8,"nominal3","nominal7",4172,250,"nominal9",7.3,0.748,9999,5,250,0.865,31.6,41.3,2.823
6.8,"nominal3","nominal7",5439,255,"nominal10",8.5,1061,3.3,4.8,235,0.98,30.5,47.1,2.875
6.9,"nominal2","nominal7",3199,160,"nominal9",8.3,0.632,3.5,4.9,245,1.18,23.8,42.2,2.7
6.9,"nominal2","nominal7",3199,160,"nominal9",8.4,0.632,3.2,4.8,242,0.999,26.9,42.5,2.724
6.9,"nominal3","nominal7",4172,228,"nominal9",7.7,0.675,9999,4.9,250,0.788,35.7,52.9,2.339
6.9,"nominal3","nominal7",4172,220,"nominal9",8,0.613,9999,4.8,250,0.752,36.2,53.6,2.193
6.9,"nominal2","nominal7",3498,180,"nominal9",8.9,0.673,9999,9999,250,1.57,36.8,40.8,2.9
6.9,"nominal2","nominal7",2793,142,"nominal9",9,0.769,9999,9999,225,1.113,30.5,36.7,3.2
6.9,"nominal2","nominal7",1998,108,"nominal9",8.6,9999,9999,9999,215,1.119,38.1,32,3.613
6.9,"nominal1","nominal7",2319,176,"nominal9",8.2,0.624,9999,9999,250,1.186,22.6,41.3,2.8
6.9,"nominal2","nominal7",2935,124,"nominal9",8.4,9999,9999,9999,226,1.5,33.9,39.8,2.876
6.9,"nominal2","nominal7",4266,205,"nominal9",8.3,0.707,3.3,4.9,243,0.839,35,50.3,2.343
7,"nominal3","nominal7",4172,228,"nominal9",7.9,0.675,9999,5,250,0.788,35.7,52.9,2.339
7,"nominal2","nominal7",2793,142,"nominal9",9.8,0.594,9999,9999,242,1.114,32.8,39.5,2.9
7,"nominal2","nominal7",2793,142,"nominal9",9.8,0.597,9999,5.1,240,1.15,32.8,39.5,2.9
7,"nominal2","nominal7",4398,210,"nominal9",8.8,0.663,9999,9999,250,0.862,43.3,53.7,2.344
7,"nominal2","nominal7",4398,210,"nominal9",9,0.663,9999,9999,250,0.862,43.3,53.7,2.344
7,"nominal2","nominal7",3996,209,"nominal9",8.2,9999,9999,9999,248,0.82,45.9,50.7,2.448
7.1,"nominal3","nominal7",2671,169,"nominal9",9.6,0.613,9999,5.1,245,1.1,13.9,41.8,2.812
7.1,"nominal2","nominal7",2793,141,"nominal9",9.5,0.677,9999,9999,229,1.17,39,39,2.964
7.1,"nominal1","nominal7",2290,165,"nominal9",8,9999,9999,9999,245,1.39,20.9,42.9,2.673
7.1,"nominal2","nominal7",3996,203,"nominal9",8.1,9999,9999,9999,240,0.817,47.8,48.1,2.483
7.1,"nominal2","nominal7",3969,203,"nominal9",8.8,0.581,9999,9999,250,0.843,46.2,50.3,2.459
7.1,"nominal3","nominal7",4172,220,"nominal9",8.3,0.748,9999,5.1,250,0.752,36.2,53.6,2.193
7.1,"nominal1","nominal7",2319,184,"nominal9",8.4,0.669,9999,9999,250,1.145,20.8,42,2.8
7.2,"nominal2","nominal7",2295,145,"nominal9",9,0.632,3.5,4.9,240,1.33,19.8,42.2,2.7
7.2,"nominal2","nominal7",2793,142,"nominal9",9.3,0.769,9999,9999,223,1.39,34.6,39,2.964
7.2,"nominal1","nominal7",2319,176,"nominal9",8.4,0.624,9999,9999,240,1.22,30.1,46,2.514
7.2,"nominal1","nominal7",2783,200,"nominal9",8.1,9999,9999,9999,250,0.95,24.9,51.2,2.336
7.2,"nominal1","nominal7",1588,116,"nominal9",9.1,9999,9999,9999,214,1.51,35.4,33.9,3.178
7.2,"nominal1","nominal7",2157,156,"nominal9",8.5,9999,9999,9999,228,1.26,54.8,30.9,3.711
7.2,"nominal3","nominal7",4266,205,"nominal9",8.7,0.707,3.3,4.9,243,0.914,32.1,46.2,2.551
7.3,"nominal2","nominal7",4266,205,"nominal9",8.7,0.621,3.6,5.3,250,0.83,36.6,52.8,2.341
7.3,"nominal2","nominal7",4266,205,"nominal9",8.8,0.621,3.6,5.3,250,0.83,36.6,52.8,2.341
7.3,"nominal2","nominal7",2295,145,"nominal9",9.2,0.632,3.2,5,237,1.14,22.4,42.5,2.724
7.3,"nominal3","nominal7",2771,142,"nominal9",10.1,0.65,9999,5.2,238,1.62,26.9,37.3,3.68
7.3,"nominal1","nominal7",1985,147,"nominal9",9,9999,9999,9999,235,9999,9999,9999,9999
7.3,"nominal1","nominal7",1985,147,"nominal9",9,9999,9999,9999,235,1.13,18.9,42.2,2.673
7.3,"nominal1","nominal7",1855,147,"nominal9",8.8,9999,9999,9999,235,1.2,19.3,41.9,2.763
7.3,"nominal1","nominal7",2492,140,"nominal9",9.5,0.639,9999,9999,230,1.33,41.2,35.3,3.242
7.3,"nominal1","nominal7",2959,141,"nominal9",10.1,9999,9999,9999,225,1.24,45.2,39.2,2.853
7.3,"nominal1","nominal7",1998,162,"nominal9",9.3,9999,9999,9999,243,0.965,23.5,43.8,2.644
7.3,"nominal1","nominal7",1998,162,"nominal9",9.1,9999,9999,9999,243,0.965,23.5,43.8,2.644
7.3,"nominal2","nominal7",3996,209,"nominal9",8.2,9999,9999,9999,240,0.777,45.9,50.7,2.448
7.3,"nominal2","nominal7",3996,209,"nominal9",8.6,9999,9999,9999,240,0.779,45.8,50.5,2.448
7.3,"nominal3","nominal7",2671,169,"nominal9",10,0.679,9999,5.3,243,1.2,13.9,41.8,2.812
7.3,"nominal2","nominal7",2793,142,"nominal9",10.3,0.659,9999,5.2,237,1.433,25,30.1,3.9
7.3,"nominal1","nominal7",1855,147,"nominal9",9,9999,9999,9999,235,1.2,19.3,41.9,2.763
7.4,"nominal2","nominal7",3199,160,"nominal9",8.9,0.617,3.5,5.3,240,0.927,28.8,45.4,2.548
7.4,"nominal2","nominal7",4266,205,"nominal9",8.2,0.696,3.6,5.3,250,0.895,30.8,48.6,2.382
7.4,"nominal1","nominal7",1781,132,"nominal9",9.4,0.677,9999,5.5,228,1.182,17.4,35.1,3.3
7.4,"nominal3","nominal7",1781,132,"nominal9",10.2,0.677,9999,5.1,226,1.157,15.7,35.5,3.259
7.4,"nominal2","nominal7",2687,162,"nominal9",8.1,0.598,9999,9999,245,0.984,37.3,38.9,2.975
7.4,"nominal1","nominal7",1997,148,"nominal9",9.7,9999,9999,9999,235,1.76,21.1,36.4,3.75
7.4,"nominal2","nominal7",3996,209,"nominal9",8.3,9999,9999,9999,240,0.779,45.8,50.5,2.448
7.4,"nominal3","nominal7",2671,184,"nominal9",9.8,9999,9999,9999,236,9999,9999,9999,3.194
7.4,"nominal1","nominal7",2492,140,"nominal9",9.8,0.639,9999,9999,230,1.13,42,36,3.242
7.5,"nominal1","nominal7",2671,169,"nominal9",9.1,0.613,9999,5.7,247,0.842,14.7,50.6,2.325
7.5,"nominal1","nominal7",1781,132,"nominal9",8.9,0.639,9999,5.6,228,1.16,18.6,37.5,3.56
7.5,"nominal1","nominal7",1781,132,"nominal9",8.9,0.639,9999,5.6,228,1.16,18.6,37.5,3.56
7.5,"nominal3","nominal7",1781,132,"nominal9",9.9,0.639,9999,5.2,226,1.154,13.9,35.6,3.217
7.5,"nominal2","nominal7",2793,142,"nominal9",10.6,0.651,9999,9999,240,1.73,33.8,40.7,2.9
7.5,"nominal1","nominal7",2319,176,"nominal9",9.1,0.738,9999,9999,235,1.115,22.6,41.3,2.8
7.5,"nominal2","nominal7",2967,175,"nominal9",8.9,0.726,9999,9999,234,0.884,41.4,38.9,3.1
7.5,"nominal2","nominal7",5379,240,"nominal9",9.8,0.921,9999,9999,225,0.799,48.9,56.3,2.315
7.5,"nominal1","nominal7",2157,136,"nominal9",9.4,9999,9999,9999,228,1.71,42.7,30.4,3.534
7.5,"nominal2","nominal7",1998,147,"nominal9",8.6,9999,9999,9999,235,0.982,45.3,37.4,3.94
7.5,"nominal3","nominal7",2771,142,"nominal9",10.3,0.653,9999,5.3,234,1.44,26.9,37.3,3.68
7.5,"nominal1","nominal7",2319,176,"nominal9",9999,0.669,9999,9999,240,0.939,24.3,47.3,2.484
7.5,"nominal1","nominal7",2319,176,"nominal9",9999,0.669,9999,9999,240,0.939,24.3,47.3,2.484
7.5,"nominal3","nominal7",4398,210,"nominal10",10,9999,9999,9999,206,9999,9999,9999,2.912
7.6,"nominal2","nominal7",3498,180,"nominal9",9.2,0.673,9999,9999,247,0.835,43.4,51,2.344
7.7,"nominal1","nominal7",1781,132,"nominal9",9.4,9999,9999,9999,229,1.82,17,38.5,3.7
7.7,"nominal1","nominal7",2946,140,"nominal9",10,0.666,9999,9999,235,1.99,34.1,37.2,3.81
7.7,"nominal2","nominal7",1795,107,"nominal9",10,0.648,9999,9999,212,9999,49.1,9999,9999
7.7,"nominal1","nominal7",2671,169,"nominal9",9.5,0.635,9999,5.9,245,0.835,14.7,50.6,2.325
7.7,"nominal3","nominal7",2671,184,"nominal9",9.9,9999,9999,9999,234,9999,9999,9999,2.294
7.7,"nominal1","nominal7",1998,162,"nominal9",9.4,9999,9999,9999,235,0.934,23.5,43.8,2.644
7.8,"nominal2","nominal7",3199,160,"nominal9",9.3,9999,9999,9999,245,1.8,27,42.6,2.714
7.8,"nominal2","nominal8",3996,184,"nominal9",10.3,9999,9999,9999,250,1.38,23.7,60.2,2.53
7.8,"nominal2","nominal8",3996,184,"nominal9",10.4,9999,9999,9999,250,1.38,23.7,60.2,2.53
7.8,"nominal2","nominal7",2494,125,"nominal9",10,0.686,9999,9999,230,1.12,34.9,37.3,3.1
7.8,"nominal2","nominal8",2926,135,"nominal9",11.3,0.639,9999,9999,227,1.17,17.1,51.2,2.3
7.8,"nominal1","nominal7",2435,142,"nominal9",10.2,0.624,9999,9999,230,1.91,17,41.3,2.8
7.8,"nominal1","nominal7",2959,166,"nominal9",9.1,9999,9999,9999,243,1.32,44.3,38,3.46
7.8,"nominal1","nominal7",1795,107,"nominal9",9.5,9999,9999,9999,205,0.95,32.4,33.6,3.213
7.8,"nominal1","nominal7",1834,99,"nominal9",10.5,9999,9999,9999,210,0.979,44.5,33,3.267
7.8,"nominal1","nominal7",4565,205,"nominal9",9,9999,9999,9999,203,0.61,60.2,59.4,2.118
7.8,"nominal1","nominal7",2495,151,"nominal9",9.2,0.697,9999,9999,227,0.893,48.3,39.1,2.9
7.9,"nominal2","nominal7",3199,165,"nominal9",9.5,0.629,3.4,5.3,238,0.921,29.2,46.2,2.548
7.9,"nominal1","nominal7",1781,132,"nominal9",9.9,0.716,9999,5.8,222,1.151,17.4,35.1,3.3
7.9,"nominal3","nominal7",1781,132,"nominal9",10.8,0.716,9999,9999,220,1.126,15.7,35.5,3.259
7.9,"nominal1","nominal7",1781,132,"nominal9",9.5,0.65,9999,9999,231,1.31,17.9,37.3,3.11
7.9,"nominal3","nominal7",1781,132,"nominal9",10.5,0.65,9999,5.4,230,1.79,15.8,35.5,3.259
7.9,"nominal1","nominal7",2498,143,"nominal9",9.9,0.557,9999,9999,233,0.975,29.3,36.7,3.119
7.9,"nominal1","nominal7",2946,140,"nominal9",10.1,0.666,9999,9999,230,1.339,49.2,29.9,3.886
7.9,"nominal2","nominal7",2793,142,"nominal9",11.4,0.673,9999,9999,233,1.92,32.3,38.8,3.1
7.9,"nominal2","nominal8",2926,135,"nominal9",11.8,0.68,9999,9999,225,1.97,17.1,51.2,2.3
7.9,"nominal3","nominal7",2771,142,"nominal9",10.7,0.667,9999,5.4,232,1.25,27.2,37.7,3.68
7.9,"nominal1","nominal7",2435,147,"nominal9",10.4,0.669,9999,9999,225,0.97,15.4,41.3,2.8
8,"nominal3","nominal7",2771,142,"nominal9",11,0.613,9999,5.7,234,1.34,27.2,37.7,3.68
8,"nominal2","nominal7",2494,125,"nominal9",11,0.594,9999,9999,233,1.124,31.2,37.7,3.1
8,"nominal2","nominal7",2494,125,"nominal9",11,0.597,9999,5.6,231,1.111,31.3,37.8,3.1
8,"nominal2","nominal8",2926,135,"nominal9",11.7,0.651,9999,9999,225,1.11,19.3,50.7,2.4
8,"nominal1","nominal7",1985,136,"nominal9",9.7,9999,9999,9999,230,0.992,17.3,42.2,2.673
8,"nominal1","nominal7",1985,136,"nominal9",9.7,9999,9999,9999,230,0.992,17.3,42.2,2.673
8,"nominal1","nominal7",2319,176,"nominal9",9.2,0.738,9999,9999,225,1.497,19.3,29.5,3.928
8,"nominal1","nominal7",1998,113,"nominal9",10.5,9999,9999,9999,213,1.14,32.4,32.3,3.4
8,"nominal1","nominal7",2959,150,"nominal9",10.1,9999,9999,9999,225,0.768,44.4,46.5,2.488
8,"nominal3","nominal7",1781,132,"nominal9",10.7,0.673,9999,9999,227,1.65,15.8,35.5,3.259
8,"nominal1","nominal7",2946,140,"nominal9",10.4,0.693,9999,9999,225,1.52,34.1,37.2,3.81
8.1,"nominal1","nominal7",3697,191,"nominal9",8.6,0.675,9999,6.1,250,0.773,34.9,53.9,2.294
8.1,"nominal1","nominal7",2771,142,"nominal9",10.3,0.613,9999,5.7,236,0.992,28.6,39.6,2.919
8.1,"nominal1","nominal7",2771,142,"nominal9",10.6,0.613,9999,5.7,230,3.353,6.1,11.4,1.125
8.1,"nominal2","nominal7",2793,142,"nominal9",10.1,0.594,9999,9999,237,0.848,36,50.8,2.278
8.1,"nominal2","nominal7",2793,142,"nominal9",10.1,0.597,9999,5.9,235,0.841,36,50.8,2.278
8.1,"nominal1","nominal7",2946,140,"nominal9",10.5,0.686,9999,9999,230,1.11,32.7,38,3.17
8.1,"nominal1","nominal7",1781,132,"nominal9",9.9,0.653,9999,9999,228,1.18,17.9,37.3,3.11
8.2,"nominal2","nominal7",3199,165,"nominal9",10.3,0.621,3.7,5.8,240,0.883,30.7,48.5,2.548
8.2,"nominal2","nominal7",3199,165,"nominal9",10.5,0.621,3.7,5.8,240,0.883,30.7,48.5,2.548
8.2,"nominal2","nominal7",1998,120,"nominal9",10.8,0.611,3.8,6,223,1.65,18.6,39.5,2.9
8.2,"nominal3","nominal8",3328,165,"nominal9",11.3,0.653,9999,5.9,242,1.73,22.9,56.4,2.193
8.2,"nominal3","nominal7",2671,169,"nominal9",9.9,0.613,9999,5.6,242,0.814,17.7,51.3,2.294
8.2,"nominal1","nominal7",1781,110,"nominal9",10.7,0.639,9999,5.8,217,1.11,16.7,37.7,3.84
8.2,"nominal3","nominal7",1781,110,"nominal9",11.7,0.639,9999,5.8,215,1.71,15.6,35.2,3.296
8.2,"nominal2","nominal8",2926,135,"nominal9",11.4,0.639,9999,9999,227,1.37,21.1,54.7,2.136
8.2,"nominal2","nominal7",3498,175,"nominal9",10.3,0.663,9999,9999,243,0.839,42.5,50,2.5
8.2,"nominal2","nominal7",3498,175,"nominal9",10.5,0.663,9999,9999,243,0.839,42.5,50,2.5
