"a6","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla"
0,"spring","small","medium",8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8.957
0,"winter","small","medium",8,5.5,77,6.096,122.85,143.71001,296,3.7
17,"summer","small","medium",8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2
1.5,"winter","small","high",8.3,7.7,50,8.543,76,264.89999,344.60001,22.5
17,"spring","small","high",8.3,8.8,54.143,7.83,51.429,276.85001,326.85699,11.84
5.5,"winter","small","high",8.4,13.4,69.75,4.555,37.5,10,40.667,3.9
9.6,"spring","small","high",8.3,12.5,87,4.87,22.5,27,43.5,3.3
2,"autumn","small","high",8,12.1,66.3,4.535,39,16,39,0.8
0,"winter","small","low",7.792468286019,12.6,9,0.23,10,5,6,1.1
0,"spring","small","medium",7.6,9.6,15,3.02,40,27,121,2.8
17.1,"autumn","small","medium",7.29,11.21,17.75,3.07,35,13,20.812,12.1
0,"winter","small","medium",7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9
1.5,"summer","small","medium",8,7.9,27.233,1.651,28.333,7.3,22.9,4.5
0,"winter","small","high",7.9,11,6.167,1.172,18.333,7.75,11.8,0.5
0,"spring","small","high",7.9,9,5.273,0.91,33.636,9,11.818,0.8
0,"winter","small","high",6.6,10.8,6.08109020481913,3.245,10,1,6.5,4.2182012053469
0,"spring","small","medium",5.6,11.8,7.64098570361906,2.22,5,1,1,1.07214792040487
0,"autumn","small","medium",5.7,10.8,11.8851652911578,2.55,10,1,4,3.0675788346012
0,"spring","small","high",6.6,9.5,20.0574612976049,1.32,20,1,6,6.02909288669881
0,"summer","small","high",6.6,10.8,7.07766148318143,2.64,10,2,11,0.798298822299477
1.2,"autumn","small","medium",6.6,11.3,9.98538571882485,4.17,10,1,6,2.51049422566279
0,"spring","small","medium",6.5,10.4,9.73472760143737,5.97,10,2,14,4.23340112158487
0,"autumn","small","high",7.83,11.7,4.083,1.328,18,3.333,6.667,1.04416870664555
0,"spring","small","high",7.57,10.8,4.575,1.203,27.5,2,6.75,1
2.4,"summer","small","high",7.19,11.7,4.326,1.474,160,2.5,7.2,0.3
0,"winter","small","high",7.44,10.1,2.933,0.77,15,1.333,6,0.6
0,"spring","small","high",7.14,9.8,3.275,0.923,15,1.25,10.75,2.5
0,"summer","small","high",7,12.1,3.136,1.208,16.2,1.8,2.5,0.5
0,"winter","small","medium",7.5,1.5,32.4,0.921,1386.25,220.75,351.60001,10
0,"spring","small","medium",7.5,1.8,29.775,1.051,2082.8501,209.85699,313.60001,1
0,"summer","small","medium",7.8,7.1,32.54,1.72,2167.37012,151.125,279.06601,13.1
10.6,"autumn","medium","medium",8.5,8.1,38.125,3.85,225,45,152.33299,5.2
21.4,"summer","medium","medium",7.925,10.2,34.037,9.08,109,55,58.623,11.6
5.1,"winter","medium","medium",8.1,8.1,136,3.773,245,136.75,249.25,20.87
7,"spring","medium","medium",8.2,6.8,129.375,3.316,271.25,100,233.5,13
7.9,"spring","medium","high",9.1,9.4,35.75,5.164,32.5,85.5,215.5,18.37
1.4,"autumn","medium","medium",8.1,9.8,29.5,1.287,224.286,25.167,102.333,3.6
0,"winter","medium","medium",8,5.9,27.4,0.735,133.636,36,105.727,3
0,"spring","medium","medium",8,3.3,26.76,0.658,165,37.375,111.375,3
6.9,"winter","medium","high",7.5,9.2,11,3.31,101,26.6,108,1.3
2.2,"spring","medium","high",7.4,9.8,11,3.235,255,38.75,56.667,2
17.7,"autumn","medium","high",7.3,11.7,10.4,4.93,130,10.8,60,4.3
3.3,"winter","medium","high",7.4,8.9,13.5,5.442,123.333,27.667,104,21
8.5,"summer","medium","high",7.4,11.17,12.146,6.188,89.6,32,69.93,3.1
6.2,"autumn","medium","medium",7.5,10.8,31,4.408,737.5,111.25,214,2.9
13.1,"winter","medium","medium",7.6,6,53,3.734,914,137.60001,254.60001,4.3
13.2,"summer","medium","medium",7.4,10.77,36.248,3.73,429.20001,57.6,169.00101,3.2
0,"winter","medium","medium",7.8,3.6,48.667,4.03,5738.33008,412.33301,607.16699,4.3
9.9,"summer","medium","medium",7.6,9.7,53.102,7.16,4073.33008,282.16699,624.73297,6.8
5.1,"winter","medium","medium",8.5,8.6,125.6,3.778,124.167,197.83299,303.33301,40
12.4,"spring","medium","medium",8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5
32.9,"summer","medium","medium",8.1,10.7,94.405,4.698,153,191.75,265.25,7.3
0,"winter","medium","high",8.8,8.5,53.333,5.132,96.667,120.5,232.83299,31
9.9,"spring","medium","high",7.8,10.5,70,2.443,98.333,144.66701,244,9
20.4,"summer","medium","high",7.9,11.8,63.51,4.94,137,159.5,218,6.5
8.3,"autumn","medium","low",8.5,10.5,56.717,0.33,215.714,23,138.5,20.829
0,"winter","medium","low",9.1,5.4,61.05,0.308,105.556,104.222,239,72.478
0,"spring","medium","low",8.9,4.5,57.75,0.267,155,97.333,235.66701,98.817
0,"winter","medium","high",7.9,6.3,101.875,3.978,153.75,51.75,205.875,2
49.4,"summer","medium","high",7.8,8.2,85.982,6.2,421.66699,31.333,211.66701,21.9
1.2,"winter","medium","medium",7.7,7.1,63.625,3.14,122.5,28.625,186.5,30
0,"spring","medium","medium",7.8,6.5,82.111,2.603,215.556,12.889,154.125,5.2
0,"winter","medium","low",7.7,5.3,65.333,2.899,371.11099,51.111,183.66701,17.2
33.2,"summer","medium","low",7.5,8.8,58.331,8.688,758.75,104.5,292.625,3
3.6,"autumn","medium","low",7.6,10,49.625,5.456,308.75,38.625,285.71399,75
0,"winter","medium","low",8.7,7.4,47.778,2.316,38.111,24.667,201.778,3
0,"summer","medium","low",7.7,11.1,47.229,8.759,239,54,275.14301,65.7
2.6,"autumn","medium","high",8.3,11.1,41.5,4.665,931.83301,39,124.2,13.1
0,"winter","medium","high",8.43,6,40.167,2.67,723.66699,60.833,141.83299,25
0,"summer","medium","high",8.16,11.1,32.056,5.694,461.875,71,132.54601,15
0,"winter","medium","high",8.7,9.8,5.889,1.534,51.111,9.667,17.333,1
0,"spring","medium","high",8.2,11.3,7.25,1.875,25,6.5,26,0.3
0,"summer","medium","high",8.5,11.8,7.838,1.732,206.53799,8.692,16.662,2.1
6.4,"spring","medium","medium",7.8,6,53.425,0.381,118.571,37.857,102.571,1.2
22.3,"summer","medium","medium",8,9.7,57.848,0.461,217.75,37,86.997,3
0,"winter","medium","high",9.7,10.8,0.222,0.406,10,22.444,10.111,3.27806843721018
4.7,"summer","medium","high",8.6,11.62,1.549,0.445,25.833,16.833,18.293,1.4
0,"autumn","medium","medium",8.3,11.6,5.83,0.701,12.727,3.545,13.2,3.2
0,"spring","medium","low",8.4,5.3,74.667,3.9,131.66701,261.60001,432.909,24.917
0,"summer","medium","low",8.2,6.6,131.39999,4.188,92,238.2,320.39999,6.8
29.5,"winter","medium","medium",8.2,9.4,45.273,7.195,345.45499,144,287,9.882
1.6,"spring","medium","medium",8.1,7.1,42.636,5.078,56.364,166.72701,262.72699,17.2
4.7,"summer","medium","medium",8.1,9,48.429,6.64,128.571,181,222.286,6.429
12.7,"winter","medium","high",7.4,10.7,11.818,2.163,170.909,36.909,122,5.555
6.7,"spring","medium","high",8.3,9.7,10.556,1.921,65.556,61.556,127.222,5.233
7.1,"summer","medium","high",8.6,10.7,12,2.231,43.75,62.625,89.625,2.15
16.7,"winter","medium","medium",9.1,11.6,31.091,5.099,246.364,55,284,88.255
0,"spring","medium","medium",9,6.9,28.333,2.954,76.667,102.333,277.33301,110.456
15.8,"summer","medium","medium",8.3,10,30.125,3.726,102.5,75.875,177.625,50.225
0,"winter","medium","high",8.5,10.1,10.936,1.335,236,34.636,72.9,11.1
0,"spring","medium","high",8.3,7.7,10.078,1.212,103.333,48.667,82.444,2
7.5,"summer","medium","high",7.3,10.5,11.088,1.374,92.375,48.625,66.75,3.3
64.6,"winter","medium","medium",7.9,9.8,194.75,6.513,3466.65991,23,173.75,15.3
0,"spring","medium","medium",7.9,8.3,391.5,6.045,380,173,317,5.5
22.9,"autumn","medium","medium",8,11.9,130.67,6.54,196,75,84,4.5
1.5,"spring","medium","medium",8,9.2,39,4.86,120,187,213,2
6.8,"autumn","medium","medium",8.1,11.7,35.66,5.13,46.5,49,88.5,2.5
0,"winter","medium","low",8.43,9.9,37.6,0.826,124,32.5,115,11.7
0,"summer","medium","low",8.1,6.2,39,0.673,112.857,60,98.143,2
15.7,"winter","medium","medium",7.9,11.2,49.9,9.773,505,67.5,143.75,5.45
0,"summer","medium","medium",8.1,6.2,51.113,5.099,175,132.5,197.14301,6.4
5.4,"spring","medium","high",7.8,9.5,8.3,1.67,34,16.8,35.2,1
0,"autumn","medium","high",7.9,10.5,10.207,2.304,132.25,10.583,23.485,2
1.8,"winter","medium","low",8,4.5,79.077,8.984,920,70,200.231,19.4
0,"spring","medium","low",7.6,6.3,81.333,9.715,196.66701,77.333,147.83299,3
18.2,"autumn","medium","low",7.8,6.5,64.093,7.74,1990.16003,47.5,276,8.1
0,"winter","medium","high",8.22,8.1,41.25,1.415,172.5,46.667,123.333,30.4
0,"autumn","medium","high",8.3,9.9,40.226,1.587,235,33.8,75.207,23.8
1.2,"winter","medium","high",8.47,9,46.167,2.102,84.667,48,116.2,7.3
1,"spring","medium","high",8.4,4.9,47,0.536,91.833,109,188.66701,32
2.7,"autumn","medium","high",8.87,11,41.163,2.273,54.75,39,72.696,22.7
32.1,"summer","medium","high",7.7,4.4,53,2.31,90,22.2,116.2,16
77.6,"autumn","medium","high",7.3,11.8,44.205,45.65,24064,44,34,53.1
0,"spring","medium","medium",7.9,6,127.833,2.68,176.66701,27.5,76.333,2.1
4.5,"autumn","medium","medium",7.8,10.53,100.83,5.41,486.5,24,58.374,27.5
0,"spring","large","low",7.8,3.2,94,4.908,1131.66003,175.66701,361,28.567
0,"summer","large","low",7.6,4.9,69,3.685,1495,234.5,236,22.5
0,"spring","large","low",8.6,3.6,50,0.376,134,54.1,125.8,26.8
0,"autumn","large","low",8.4,10.6,19.22,1.655,96.833,20.667,54.916,20.6
0,"winter","large","low",8.3,11.5,26,1.87,62.5,30.75,75.333,34.75
0,"spring","large","low",9,5.8,70.3623993111891,0.9,142,102,186,68.05
0,"spring","large","low",9.5,5.7,44,0.102,146.66701,151.33299,252.5,93.683
0,"summer","large","low",8.8,8.8,43,0.13,103.333,180.66701,269.66699,92.667
0,"autumn","large","low",8.84,12.9,43.09,0.846,52.2,8.6,46.438,81.54
17.8,"winter","large","high",7.3,9.9,16,4.82,101.667,14.667,85,2
42.1,"autumn","large","high",7.4,10.68,22.35,5.414,244.60001,66.4,171.272,3.8
0,"spring","large","low",9.1,4.3,82.857,0.86,137.27299,102.364,232.89999,54.367
0,"autumn","large","low",8.53,11.1,63.292,1.726,227.60001,84.3,146.452,21.22
4.5,"winter","large","low",8.56,8.7,43.97,4.053,643,221.89999,246.66701,14.7
52.5,"autumn","large","low",8.06,8.3,38.902,3.678,627.27301,205.636,219.909,6.209
17.2,"winter","large","medium",8.24,6.1,95.367,3.561,1168,236.39999,272.22198,20.578
5.9,"summer","large","medium",7.91,6.2,151.83299,3.923,1081.66003,346.16699,388.16699,5.083
42.4,"winter","large","medium",8.21,9.3,104.818,3.908,124.364,82.222,167.89999,5.609
0,"spring","large","medium",8.5,7.3,71.444,2.512,66.667,64.389,137.778,9.384
11.5,"spring","large","medium",8.6,10.6,208.364,4.459,197.909,87.333,194.10001,27.618
0,"winter","large","medium",9.06,6.35,187.183,3.351,54.778,159.16701,221.278,20.8
0,"autumn","large","high",8.7,10.7,4.545,0.941,32.727,16,21.3,1.1
0,"spring","large","high",8.1,10.7,3.5,1.013,12.5,12.75,11,0.6
1.9,"summer","large","high",8.4,10.29,5.326,0.996,53.846,7.667,14.354,0.8
0,"spring","large","medium",8.6,10.1,2.111,0.663,11.111,3.222,7,1.3
0,"summer","large","medium",8.2,9.5,2.2,0.672,10,3.8,6.2,0.8
0,"winter","large","medium",8.5,10.5,2.75,0.758,10.5,4,7.654,4
0,"summer","large","medium",8.3,10,3.86,0.866,32,6,16,2.86
0,"winter","large","high",8,10.9,9.055,0.825,40,21.083,56.091,14.2709612249009
5.9,"summer","large","high",8.1,10.2,7.613,0.699,32.5,26.625,52.875,2
4.6,"winter","large","low",8.7,10.8,39.109,6.225,161.81799,104.727,228.364,46.075
2.6,"winter","large","low",8.7,11.7,22.455,3.765,88.182,41.3,85.4,17.491
0,"summer","large","low",8.4,8.2,23.25,2.805,43.75,51.125,87.125,14.775
3.1,"autumn","large","low",8.55,11,22.32,3.14,82.1,45.9,101.455,18.33
0,"spring","large","medium",8.5,7.6,12.778,1.873,17.778,50.889,127,24.556
31.8,"autumn","large","medium",8.7,11.4,15.541,2.323,103,34.5,81.558,5.62
16.6,"winter","large","medium",8.4,10.5,12.182,1.519,65.455,19.727,50.455,8.155
0,"spring","large","medium",8.2,8.2,7.333,1.003,37.778,19.111,120.889,5.111
5.5,"autumn","large","medium",8.58,11.1,23.825,3.617,72.6,51.111,91.111,22.9
0,"summer","large","medium",8.5,7.9,12.444,2.586,96.667,19.111,61.444,6.167
0,"autumn","large","medium",8.4,8.4,17.375,3.833,83.75,53.625,79.75,2.338
10.3,"spring","large","medium",8.3,10.6,14.32,3.2,125.333,35.333,75.904,4.667
0,"autumn","large","medium",8.2,7,139.989,2.978,60.11,78.333,140.22,31.738
0,"summer","large","medium",8.5,6.7,82.852,2.8,27.069,64,140.517,18.3
