"available.power","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15"
55,"nominal1",1299,4,"nominal3",1.155,10,107,10.35,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
55,"nominal1",1299,4,"nominal3",1.155,10,107,10.35,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
56,"nominal1",1299,4,"nominal3",1.2,10,115,11.13,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
56,"nominal1",1299,4,"nominal3",1.2,10,115,11.13,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
59,"nominal1",1299,4,"nominal3",1.2,10,104,10.06,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
59,"nominal1",1299,4,"nominal3",1.2,10,104,10.06,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
59,"nominal1",1299,4,"nominal3",1.2,10,104,10.06,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
63,"nominal1",1299,4,"nominal3",1.2,10,106,10.25,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
63,"nominal1",1299,4,"nominal3",1.2,10,106,10.25,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
63,"nominal1",1299,4,"nominal3",1.2,10,106,10.25,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
63,"nominal1",1299,4,"nominal3",1.2,10,106,10.25,"nominal6","nominal12",1,"nominal26","nominal27","nominal33",4
63,"nominal1",1299,4,"nominal3",0.98,11,124,12,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
63,"nominal1",1299,4,"nominal3",0.98,11,124,12,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
63,"nominal1",1299,4,"nominal3",0.98,11,124,12,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
63,"nominal1",1299,4,"nominal3",0.98,11,124,12,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
63,"nominal1",1299,4,"nominal3",1.155,10,117,11.32,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",4
46,"nominal1",1324,4,"nominal3",1.178,9,103,9.78,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",4
47,"nominal1",1324,4,"nominal3",1.178,10,102,9.68,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
47,"nominal1",1324,4,"nominal3",1.178,10,102,9.68,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
47,"nominal1",1324,4,"nominal3",1.178,10,102,9.68,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
47,"nominal1",1324,4,"nominal3",1.178,10,102,9.68,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
47,"nominal1",1324,4,"nominal3",1.178,10,102,9.68,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
47,"nominal1",1324,4,"nominal3",1.178,10,102,9.68,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
54,"nominal1",1324,4,"nominal3",1.178,9,108,10.25,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",4
54,"nominal1",1324,4,"nominal3",1.178,9,108,10.25,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",4
54,"nominal1",1324,4,"nominal3",1.178,9,108,10.25,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",4
54,"nominal1",1324,4,"nominal3",1.178,9,108,10.25,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",4
55,"nominal1",1341,4,"nominal3",1.168,10,114,10.68,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
55,"nominal1",1341,4,"nominal3",1.168,10,114,10.68,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
63,"nominal1",1341,4,"nominal3",1.168,10,115,10.78,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
63,"nominal1",1341,4,"nominal3",1.168,10,115,10.78,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",3
48,"nominal1",1343,4,"nominal3",1.13,9,108,10.11,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
48,"nominal1",1343,4,"nominal3",1.13,9,108,10.11,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1349,4,"nominal3",0.96,10,115,10.71,"nominal6","nominal12",1,"missing_value","nominal27","nominal33",2
55,"nominal1",1349,4,"nominal3",0.96,10,115,10.71,"nominal6","nominal12",1,"missing_value","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1361,4,"nominal3",1.27,10,111,10.25,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
76,"nominal1",1370,4,"nominal3",0.791,11,124,11.37,"nominal6","nominal12",2,"nominal21","nominal28","nominal33",4
76,"nominal1",1370,4,"nominal3",0.791,11,124,11.37,"nominal6","nominal12",2,"nominal21","nominal28","nominal33",4
55,"nominal1",1388,4,"nominal3",1.7,11,123,11.14,"nominal6","nominal14",2,"nominal21","nominal27","nominal33",4
66,"nominal1",1389,4,"nominal3",0.946,11,125,11.31,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
66,"nominal1",1389,4,"nominal3",0.946,11,125,11.31,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
66,"nominal1",1389,4,"nominal3",0.946,11,125,11.31,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
66,"nominal1",1389,4,"nominal3",0.946,11,125,11.31,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
44,"nominal1",1390,4,"nominal3",0.988,11,116,10.49,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1390,4,"nominal3",0.988,10,116,10.49,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1390,4,"nominal3",0.988,10,116,10.49,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
44,"nominal1",1390,4,"nominal3",0.988,10,116,10.49,"nominal6","nominal12",1,"nominal20","nominal27","nominal33",2
55,"nominal1",1390,4,"nominal3",0.988,11,126,11.39,"nominal6","nominal12",2,"nominal20","nominal27","nominal33",4
55,"nominal1",1390,4,"nominal3",0.988,11,128,11.57,"nominal6","nominal12",2,"nominal20","nominal27","nominal33",4
55,"nominal1",1390,4,"nominal3",1.16,10,107,9.67,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",2
55,"nominal1",1390,4,"nominal3",1.16,10,114,10.31,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",2
55,"nominal1",1390,4,"nominal3",1.16,10,114,10.31,"nominal6","nominal12",1,"nominal19","nominal27","nominal33",2
55,"nominal1",1390,4,"nominal3",0.988,11,128,11.57,"nominal6","nominal12",2,"nominal20","nominal27","nominal33",4
55,"nominal1",1390,4,"nominal3",0.988,11,126,11.39,"nominal6","nominal12",2,"nominal20","nominal27","nominal33",4
70,"nominal1",1390,4,"nominal3",1.16,9999,127,11.48,"nominal6","nominal12",2,"nominal20","nominal27","nominal33",4
74,"nominal1",1390,4,"nominal3",0.988,11,128,11.57,"nominal6","nominal12",2,"nominal20","nominal27","nominal33",4
74,"nominal1",1390,4,"nominal3",0.988,11,126,11.39,"nominal6","nominal12",2,"nominal20","nominal27","nominal33",4
55,"nominal1",1392,4,"nominal3",1.111,10,116,10.47,"nominal6","nominal9",2,"nominal21","nominal27","nominal33",4
55,"nominal1",1396,4,"nominal3",1.53,10,112,10.08,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
55,"nominal1",1396,4,"nominal3",1.53,9,111,9.99,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
55,"nominal1",1396,4,"nominal3",1.53,9,111,9.99,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
62,"nominal1",1396,4,"nominal3",1.53,11,110,9.9,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
66,"nominal1",1396,4,"nominal3",1.53,10,127,11.43,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
66,"nominal1",1396,4,"nominal3",1.53,10,127,11.43,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
66,"nominal1",1396,4,"nominal3",1.53,10,127,11.43,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
66,"nominal1",1396,4,"nominal3",1.53,10,127,11.43,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
66,"nominal1",1396,4,"nominal3",1.53,9,120,10.8,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
66,"nominal1",1396,4,"nominal3",1.53,9,120,10.8,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
66,"nominal1",1396,4,"nominal3",1.53,9,120,10.8,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
66,"nominal1",1396,4,"nominal3",1.53,9,120,10.8,"nominal6","nominal12",1,"nominal25","nominal27","nominal33",4
76,"nominal1",1396,4,"nominal3",1.53,11,123,11.07,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
76,"nominal1",1396,4,"nominal3",1.53,11,123,11.07,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
76,"nominal1",1396,4,"nominal3",1.53,11,123,11.07,"nominal6","nominal12",2,"nominal21","nominal27","nominal33",4
50,"nominal1",1397,4,"nominal3",1.33,10,120,10.79,"nominal7","nominal15",1,"nominal25","nominal27","nominal33",2
60,"nominal1",1397,4,"nominal3",0.869,11,130,11.69,"nominal6","nominal9",1,"nominal19","nominal27","nominal33",2
60,"nominal1",1397,4,"nominal3",0.869,11,130,11.69,"nominal6","nominal9",1,"nominal19","nominal27","nominal33",2
60,"nominal1",1397,4,"nominal3",0.869,11,130,11.69,"nominal6","nominal9",1,"nominal19","nominal27","nominal33",2
60,"nominal1",1397,4,"nominal3",0.869,11,130,11.69,"nominal6","nominal9",1,"nominal19","nominal27","nominal33",2
71,"nominal1",1398,4,"nominal3",0.93,11,130,11.69,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
71,"nominal1",1398,4,"nominal3",0.93,11,130,11.69,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
71,"nominal1",1398,4,"nominal3",0.93,11,130,11.69,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
71,"nominal1",1398,4,"nominal3",0.93,11,130,11.69,"nominal6","nominal11",2,"nominal21","nominal29","nominal33",4
55,"nominal2",1422,3,"nominal3",1.21,20,195,17.23,"nominal6","nominal12",1,"nominal21","missing_value","missing_value",2
55,"nominal2",1422,3,"nominal3",1.21,20,195,17.23,"nominal6","nominal12",1,"nominal21","missing_value","missing_value",2
49,"nominal2",1487,4,"nominal3",1.79,22,132,11.16,"nominal6","nominal12",1,"nominal21","missing_value","missing_value",2
65,"nominal1",1489,4,"nominal3",1.11,9,132,11.14,"nominal6","nominal13",2,"nominal21","nominal27","nominal33",4
65,"nominal1",1489,4,"nominal3",1.11,9,132,11.14,"nominal6","nominal13",2,"nominal21","nominal27","nominal33",4
84,"nominal1",1493,4,"nominal3",1.127,10,134,11.28,"nominal6","nominal12",1,"nominal25","nominal32","nominal33",4
