"maximal.torque","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15","Attribute16","Attribute17","Attribute18","Attribute19","Attribute20","Attribute21","Attribute22","Attribute23","Attribute24","Attribute25","Attribute26","Attribute27","Attribute28","Attribute29","Attribute30","Attribute31","Attribute32"
65,"nominal1","nominal4","nominal10",4,"nominal12",899,29,9,5500,850,9999,9999,9.09,1.42,"nominal19","nominal23","nominal29",2,7,29,9999,7,26,9999,25.3,"nominal35","nominal39",1,"nominal47","nominal55","nominal58","nominal61"
74,"nominal1","nominal4","nominal10",4,"nominal12",954,33,9,6000,850,9999,9999,9.75,0.886,"nominal21","nominal23","nominal29",2,7,34.8,9999,7,27.9,9999,24.4,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
77,"nominal1","nominal4","nominal10",4,"nominal12",993,40,9,5500,9999,9999,9999,9.74,0.847,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,19,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
77,"nominal1","nominal4","nominal10",4,"nominal12",993,40,9,5500,9999,9999,9999,9.74,0.847,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,19.1,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
79,"nominal1","nominal4","nominal10",4,"nominal12",998,40,10,6000,650,9999,9999,9.95,0.887,"nominal17","nominal23","nominal29",4,5.5,27.5,9999,5.5,22.5,9999,20.9,"nominal34","nominal43",2,"nominal47","nominal52","nominal57","nominal61"
79,"nominal1","nominal4","nominal10",4,"nominal12",998,40,10,6000,650,9999,9999,9.95,0.887,"nominal17","nominal23","nominal29",4,5.5,27.5,9999,5.5,22.5,9999,20.9,"nominal34","nominal43",2,"nominal47","nominal52","nominal57","nominal61"
79,"nominal1","nominal4","nominal10",4,"nominal12",998,40,10,6000,650,9999,9999,9.95,0.887,"nominal17","nominal23","nominal29",4,5.5,27.5,9999,5.5,22.5,9999,20.9,"nominal34","nominal43",2,"nominal47","nominal52","nominal57","nominal61"
79,"nominal1","nominal4","nominal10",4,"nominal12",998,40,10,6000,775,9999,9999,9.95,0.887,"nominal17","nominal23","nominal29",4,5.5,27.5,9999,5.5,22.5,9999,21.5,"nominal34","nominal43",2,"nominal47","nominal52","nominal57","nominal61"
82,"nominal1","nominal4","nominal10",4,"nominal12",999,40,10,5500,9999,9999,9999,10.31,1.16,"nominal21","nominal23","nominal29",3,9999,9999,9999,9999,9999,9999,21.2,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
82,"nominal1","nominal4","nominal10",4,"nominal12",999,40,10,5500,9999,9999,9999,10.31,1.16,"nominal21","nominal23","nominal29",3,9999,9999,9999,9999,9999,9999,21.2,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
82,"nominal1","nominal4","nominal10",4,"nominal12",999,40,10,5500,9999,9999,9999,10.31,1.16,"nominal21","nominal23","nominal29",3,9999,9999,9999,9999,9999,9999,21.2,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
82,"nominal1","nominal4","nominal10",4,"nominal12",999,40,10,5500,9999,9999,9999,10.31,1.16,"nominal21","nominal23","nominal29",3,9999,9999,9999,9999,9999,9999,21.2,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
84,"nominal1","nominal4","nominal10",4,"nominal12",997,37,10,5000,9999,9999,9999,10.59,0.85,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,28,"nominal35","nominal43",1,"nominal47","nominal52","nominal58","nominal61"
84,"nominal1","nominal4","nominal10",4,"nominal12",1296,44,10,6000,850,9999,9999,8.14,0.94,"nominal21","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,18.9,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
84,"nominal1","nominal4","nominal10",4,"nominal12",1296,44,10,6000,850,9999,9999,8.14,0.94,"nominal21","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,18.9,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
85,"nominal1","nominal4","nominal10",4,"nominal12",973,43,10,5600,900,9999,9999,10.98,1.84,"nominal16","nominal23","nominal29",4,5,28,6.9,5,25,7.4,21.9,"nominal34","nominal37",2,"nominal47","nominal52","nominal58","nominal61"
86,"nominal1","nominal4","nominal10",4,"nominal12",999,37,11,5000,9999,9999,9999,10.82,1.52,"nominal16","nominal23","nominal29",2,9999,31,8.5,9999,26,8.5,23.5,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
86,"nominal1","nominal4","nominal10",4,"nominal12",999,37,11,5000,9999,9999,9999,10.82,1.52,"nominal16","nominal23","nominal29",2,9999,31,8.5,9999,26,8.5,24.4,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
86,"nominal1","nominal4","nominal10",4,"nominal12",999,37,11,5000,700,9999,9999,10.82,1.52,"nominal16","nominal23","nominal29",2,9999,31,8.5,9999,26,8.5,23.6,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
86,"nominal1","nominal4","nominal10",4,"nominal12",1108,40,10,5500,9999,9999,9999,9.75,1.29,"nominal17","nominal23","nominal29",2,7,30.4,8.8,7,27.4,8.8,18.8,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
86,"nominal1","nominal4","nominal10",4,"nominal12",1108,40,10,5500,9999,9999,9999,9.75,1.29,"nominal17","nominal23","nominal29",2,7,30.4,8.8,7,27.4,8.8,18.4,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
88,"nominal1","nominal4","nominal10",4,"nominal12",1124,44,9,6200,850,9999,9999,9.84,0.958,"nominal21","nominal23","nominal29",2,7,36.8,8.2,7,29.4,8.2,18.3,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
90,"nominal1","nominal4","nominal10",4,"nominal12",998,50,10,6000,550,9999,9999,11.33,0.967,"nominal17","nominal25","nominal29",4,5,26,7.2,5,22.6,6.8,17,"nominal34","nominal39",2,"nominal47","nominal52","nominal57","nominal61"
90,"nominal1","nominal4","nominal10",4,"nominal12",998,50,10,6000,550,9999,9999,11.33,0.967,"nominal17","nominal25","nominal29",4,5,26,7.2,5,22.6,6.8,17,"nominal34","nominal39",2,"nominal47","nominal52","nominal57","nominal61"
90,"nominal1","nominal4","nominal10",4,"nominal12",998,50,10,6000,550,9999,9999,11.33,0.967,"nominal17","nominal25","nominal29",4,5,26,7.2,5,22.6,6.8,16.8,"nominal34","nominal39",2,"nominal47","nominal52","nominal57","nominal61"
91,"nominal1","nominal4","nominal10",4,"nominal12",1124,44,10,5600,850,6500,9999,10.17,0.958,"nominal16","nominal23","nominal29",2,7,36.8,8.2,7,29.4,8.2,20.7,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
91,"nominal1","nominal4","nominal10",4,"nominal12",1124,44,10,5600,850,6500,9999,10.17,0.958,"nominal16","nominal23","nominal29",2,7,36.8,8.2,7,29.4,8.2,20.7,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
91,"nominal1","nominal4","nominal10",4,"nominal12",1124,44,10,5600,850,6500,9999,10.17,0.958,"nominal16","nominal23","nominal29",2,7,36.8,8.2,7,29.4,8.2,20.7,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
91,"nominal1","nominal4","nominal10",4,"nominal12",1124,44,10,5600,850,6500,9999,10.17,0.958,"nominal16","nominal23","nominal29",2,7,36.8,8.2,7,29.4,8.2,20.7,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
91,"nominal1","nominal4","nominal10",4,"nominal12",1124,44,10,5600,850,6500,9999,10.17,0.958,"nominal16","nominal23","nominal29",2,7,36.8,8.2,7,29.4,8.2,20.7,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
91,"nominal1","nominal4","nominal10",4,"nominal12",1124,44,10,5600,850,6500,9999,10.17,0.958,"nominal16","nominal23","nominal29",2,7,36.8,8.2,7,29.4,8.2,20.7,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
91,"nominal1","nominal4","nominal10",4,"nominal12",1124,44,10,5600,850,6500,9999,10.17,0.958,"nominal16","nominal23","nominal29",2,7,36.8,8.2,7,29.4,8.2,20.7,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
93,"nominal1","nominal4","nominal10",4,"nominal12",1149,43,10,5250,9999,9999,9999,10.17,1.113,"nominal15","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,22,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
93,"nominal1","nominal4","nominal10",4,"nominal12",1149,43,10,5250,740,6100,9999,10.17,1.113,"nominal15","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,20.5,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
93,"nominal1","nominal4","nominal10",4,"nominal12",1149,43,10,5250,740,6100,9999,10.17,1.113,"nominal15","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,20.9,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
93,"nominal1","nominal4","nominal10",4,"nominal12",1149,43,10,5250,740,6100,9999,10.17,1.113,"nominal15","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,19.1,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
93,"nominal1","nominal4","nominal10",4,"nominal12",1149,43,10,5250,740,6100,9999,10.17,1.113,"nominal15","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,19.1,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
93,"nominal1","nominal4","nominal10",4,"nominal12",1149,43,10,5250,740,6100,9999,10.17,1.113,"nominal15","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,19.7,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
93,"nominal1","nominal4","nominal10",4,"nominal12",1297,37,10,5000,9999,9999,9999,9.01,1.21,"nominal19","nominal23","nominal29",2,7,34.5,5.3,7,29,5.1,25.2,"nominal35","nominal37",1,"nominal47","nominal52","nominal57","nominal61"
93,"nominal1","nominal4","nominal10",4,"nominal12",1297,37,10,5000,9999,9999,9999,9.01,1.21,"nominal19","nominal23","nominal29",2,7,34.5,5.3,7,29,5.1,25.6,"nominal35","nominal37",1,"nominal47","nominal52","nominal57","nominal61"
95,"nominal1","nominal4","nominal11",4,"nominal12",1527,40,23,5000,800,5450,9999,7.82,1.65,"nominal17","nominal23","nominal29",2,7,37,8.9,7,31.6,8.9,22.3,"nominal34","nominal40",1,"nominal47","nominal54","nominal59","nominal63"
95,"nominal1","nominal4","nominal11",4,"nominal12",1527,42,23,5000,800,5450,9999,7.82,1.65,"nominal17","nominal23","nominal29",2,7,37,8.9,7,31.6,8.9,21.4,"nominal34","nominal40",1,"nominal47","nominal54","nominal59","nominal63"
98,"nominal1","nominal4","nominal10",4,"nominal12",1242,44,10,5500,900,9999,9999,9.92,1.114,"nominal17","nominal23","nominal29",2,7,31.2,9999,7,27.2,9999,19.7,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
98,"nominal1","nominal4","nominal10",4,"nominal12",1242,44,10,5500,900,9999,9999,9.92,1.114,"nominal17","nominal23","nominal29",2,7,31.2,9999,7,27.2,9999,20.2,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
99,"nominal1","nominal4","nominal10",4,"nominal12",1289,40,10,4500,800,9999,9999,9.65,0.954,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,23.4,"nominal35","nominal43",1,"nominal47","nominal52","nominal58","nominal61"
99,"nominal1","nominal6","nominal10",4,"nominal12",1299,50,10,6000,800,9999,9999,9.58,1.2,"nominal21","nominal23","nominal29",2,7,36,9999,7,30,9999,17.3,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
99,"nominal1","nominal6","nominal10",4,"nominal12",1299,50,10,6000,800,9999,9999,9.58,1.2,"nominal21","nominal23","nominal29",2,7,36,9999,7,30,9999,17.9,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
99,"nominal1","nominal4","nominal10",4,"nominal12",1299,50,10,6000,800,9999,9999,9.58,1.2,"nominal21","nominal23","nominal29",2,7,36,9999,7,30,9999,16.1,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
102,"nominal1","nominal4","nominal10",4,"nominal12",1242,44,10,5000,9999,9999,9999,10.32,1.114,"nominal17","nominal23","nominal29",2,7,31.2,9999,7,27.2,9999,19.5,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
102,"nominal1","nominal4","nominal10",4,"nominal12",1242,44,10,5000,9999,9999,9999,10.32,1.114,"nominal17","nominal23","nominal29",2,7,31.2,9999,7,27.2,9999,19.9,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
102,"nominal1","nominal4","nominal10",4,"nominal12",1324,47,10,5200,9999,9999,9999,9.68,1.178,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,16.9,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
102,"nominal1","nominal4","nominal10",4,"nominal12",1324,47,10,5200,9999,9999,9999,9.68,1.178,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,18,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
102,"nominal1","nominal4","nominal10",4,"nominal12",1324,47,10,5200,9999,9999,9999,9.68,1.178,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,16.9,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
102,"nominal1","nominal4","nominal10",4,"nominal12",1324,47,10,5200,9999,9999,9999,9.68,1.178,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,18,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
102,"nominal1","nominal4","nominal10",4,"nominal12",1324,47,10,5200,9999,9999,9999,9.68,1.178,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,18,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
102,"nominal1","nominal4","nominal10",4,"nominal12",1324,47,10,5200,9999,9999,9999,9.68,1.178,"nominal21","nominal23","nominal29",2,9999,9999,9999,9999,9999,9999,18.6,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
103,"nominal1","nominal4","nominal10",4,"nominal12",1297,44,10,5000,800,9999,9999,9.98,1.21,"nominal19","nominal23","nominal29",2,7,34.5,5.3,7,29,5.1,21.8,"nominal35","nominal37",1,"nominal47","nominal52","nominal57","nominal61"
103,"nominal1","nominal4","nominal10",4,"nominal12",1275,55,10,6000,650,9999,9999,10.15,1.134,"nominal17","nominal23","nominal29",4,5.5,27.5,7.9,5.5,22.5,7.9,15.6,"nominal34","nominal43",2,"nominal47","nominal52","nominal57","nominal61"
103,"nominal1","nominal4","nominal10",4,"nominal12",1275,55,10,6000,650,9999,9999,10.15,1.134,"nominal17","nominal23","nominal29",4,5.5,27.5,7.9,5.5,22.5,7.9,16,"nominal34","nominal43",2,"nominal47","nominal52","nominal57","nominal61"
103,"nominal1","nominal4","nominal10",4,"nominal12",1324,46,9,5000,750,9999,9999,9.78,1.178,"nominal15","nominal23","nominal29",4,7,32,9999,7,28,9999,20.8,"nominal34","nominal40",1,"nominal47","nominal52","nominal57","nominal61"
103,"nominal2","nominal8","nominal10",4,"nominal12",1299,51,10,6000,800,9999,9999,9.96,1.2,"nominal21","nominal23","nominal29",2,7,36,9999,7,30,9999,19.4,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
103,"nominal2","nominal8","nominal10",4,"nominal12",1299,51,10,6000,800,9999,9999,9.96,1.2,"nominal21","nominal23","nominal29",2,7,36,9999,7,30,9999,19.1,"nominal34","nominal40",1,"nominal47","nominal55","nominal58","nominal61"
104,"nominal1","nominal4","nominal10",4,"nominal12",1241,54,10,6000,9999,9999,9999,10.53,1.113,"nominal17","nominal23","nominal29",2,7,31.4,9.5,7,27.4,9.5,19,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
104,"nominal2","nominal5","nominal10",4,"nominal12",1299,59,10,6000,750,9999,9999,10.06,1.2,"nominal22","nominal23","nominal29",4,5.5,9999,9999,5.5,9999,9999,16.7,"nominal34","nominal40",1,"nominal47","nominal52","nominal57","nominal61"
104,"nominal2","nominal8","nominal10",4,"nominal12",1299,59,10,6000,750,9999,9999,10.06,1.2,"nominal22","nominal23","nominal29",4,5.5,9999,9999,5.5,9999,9999,17.5,"nominal34","nominal40",1,"nominal47","nominal52","nominal57","nominal61"
104,"nominal2","nominal8","nominal10",4,"nominal12",1299,59,10,6000,750,9999,9999,10.06,1.2,"nominal22","nominal23","nominal29",4,5.5,9999,9999,5.5,9999,9999,17.8,"nominal34","nominal40",1,"nominal47","nominal52","nominal57","nominal61"
105,"nominal1","nominal4","nominal10",4,"nominal12",1297,44,10,5000,9999,9999,9999,10.17,1.21,"nominal19","nominal23","nominal29",2,7,34.5,9999,7,29,9999,20.2,"nominal35","nominal37",1,"nominal47","nominal52","nominal57","nominal61"
105,"nominal1","nominal4","nominal10",4,"nominal12",1297,44,10,5000,9999,9999,9999,10.17,1.21,"nominal19","nominal23","nominal29",2,7,34.5,9999,7,29,9999,20.2,"nominal35","nominal37",1,"nominal47","nominal52","nominal57","nominal61"
105,"nominal1","nominal4","nominal10",4,"nominal12",1296,62,10,6500,850,9999,9999,10.18,0.94,"nominal21","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,13.4,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
105,"nominal1","nominal4","nominal10",4,"nominal12",1296,62,10,6500,850,9999,9999,10.18,0.94,"nominal21","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,13.9,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
105,"nominal2","nominal6","nominal10",4,"nominal12",1296,61,10,6100,850,9999,9999,10.18,0.94,"nominal21","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.4,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
105,"nominal2","nominal6","nominal10",4,"nominal12",1296,61,10,6100,850,9999,9999,10.18,0.94,"nominal21","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.5,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
105,"nominal2","nominal6","nominal10",4,"nominal12",1296,61,10,6100,850,9999,9999,10.18,0.94,"nominal21","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.4,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
105,"nominal2","nominal6","nominal10",4,"nominal12",1296,61,10,6100,850,9999,9999,10.18,0.94,"nominal21","nominal23","nominal29",4,9999,9999,9999,9999,9999,9999,17.5,"nominal34","nominal40",1,"nominal47","nominal52","nominal58","nominal61"
