"fuel.consumption.country","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15","Attribute16","Attribute17","Attribute18","Attribute19","Attribute20","Attribute21","Attribute22","Attribute23","Attribute24","Attribute25","Attribute26","Attribute27","Attribute28","Attribute29","Attribute30","Attribute31","Attribute32","Attribute33","Attribute34","Attribute35","Attribute36","Attribute37"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1487,49,22,4600,890,9999,9999,11.16,9999,9999,14,950,495,19.4,"nominal15","nominal21",1,"nominal29","nominal35","nominal40","nominal44",3741,1608,1424,2443,165,132,0.66,36.2,2.842,"missing_value","nominal57"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,9999,9999,15.58,9999,9999,11.2,1239,541,15.3,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4183,1742,1439,2511,193,235,9999,45.1,2.576,"nominal51","nominal57"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,4000,9999,9999,9999,13.92,9999,9999,12.1,1124,460,17,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",3876,1640,1422,2443,180,210,9999,46.8,2.264,"nominal51","nominal57"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,5000,9999,15.58,9999,7.6,10.6,1284,536,15.9,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4376,1735,1446,2513,193,235,0.633,45.1,2.576,"nominal51","nominal57"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1994,74,20,4200,9999,9999,9999,15.13,9999,9999,9.9,1130,470,15.3,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",3990,1688,1419,2500,185,240,9999,41.7,2.556,"nominal51","missing_value"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1753,66,19,4000,9999,9999,9999,14.34,9999,9999,12.5,1242,513,18.8,"nominal15","nominal22",1,"nominal29","nominal34","nominal38","nominal48",4438,1702,1465,2615,184,200,0.675,47.4,2.298,"nominal51","nominal57"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,5000,9999,15.58,9999,7.9,11.3,1327,523,16.4,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4397,1735,1485,2515,193,235,0.678,45.1,2.576,"nominal51","nominal57"
4.1,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4000,900,5000,9999,15.58,9999,7.4,10.9,1188,460,14.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4137,1640,1459,2444,190,235,0.706,45.1,2.4,"nominal51","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1689,66,19,4200,760,4850,4650,13.39,5.1,8.5,12.5,1085,460,16.4,"nominal15","nominal19",2,"nominal29","nominal34","nominal38","nominal43",3575,1719,1575,2423,175,180,0.736,42,2.513,"nominal51","nominal55"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1689,66,19,4200,760,4850,4650,13.39,5.1,8.5,12.5,1085,460,16.4,"nominal15","nominal19",2,"nominal29","nominal34","nominal38","nominal43",3575,1719,1575,2423,175,180,0.736,42,2.513,"nominal51","nominal55"
4.2,"nominal2","nominal7","nominal9",3,"nominal12",599,33,10,5250,800,6000,6000,14.69,7.2,11.9,18.9,720,260,21.8,"nominal15","nominal18",1,"nominal29","nominal33","nominal39","nominal42",2500,1516,1551,1812,135,70,0.746,35.7,2.933,"nominal50","nominal54"
4.2,"nominal2","nominal7","nominal9",3,"nominal12",599,40,10,5250,800,6000,6000,18.46,7,11.4,17.2,720,260,18,"nominal15","nominal18",1,"nominal29","nominal33","nominal39","nominal42",2500,1516,1551,1812,135,88,0.746,35.7,2.933,"nominal50","nominal54"
4.2,"nominal2","nominal7","nominal9",3,"nominal12",599,40,10,5250,800,6000,6000,18.46,7.7,11.4,17.5,720,260,18,"nominal15","nominal18",1,"nominal29","nominal33","nominal39","nominal42",2500,1516,1551,1812,135,88,0.746,35.7,2.933,"nominal50","nominal54"
4.2,"nominal2","nominal7","nominal9",3,"nominal12",599,40,10,5250,800,6000,6000,18.46,7,11.4,17.2,730,260,18.3,"nominal15","nominal18",1,"nominal29","nominal33","nominal39","nominal42",2514,1537,1548,1812,135,88,9999,35.7,2.933,"nominal50","nominal54"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1686,44,22,4400,9999,9999,9999,8.35,9999,9999,16.5,940,495,21.4,"nominal15","nominal21",1,"nominal28","nominal35","nominal40","nominal44",3741,1608,1424,2443,155,112,0.66,36.2,2.842,"missing_value","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1686,44,22,4400,9999,9999,9999,8.35,9999,9999,16.5,970,495,22,"nominal15","nominal21",1,"nominal28","nominal35","nominal40","nominal44",3741,1608,1424,2443,155,112,0.639,36.2,2.842,"missing_value","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1896,50,20,4200,900,5050,9999,8.82,9999,9999,17.7,1195,545,23.9,"nominal15","nominal21",1,"nominal28","nominal34","nominal39","nominal47",4183,1742,1439,2511,160,133,9999,38.5,3.26,"nominal51","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,4000,860,9999,9999,13.92,9999,9999,13,1232,543,18.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4183,1742,1439,2511,180,210,9999,45.3,2.562,"nominal51","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,3750,860,5000,9999,13.92,9999,8.8,13.3,1225,415,18.6,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4081,1695,1425,2472,175,210,0.651,44.4,2.387,"nominal51","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,5000,9999,15.58,9999,7.6,11.3,1225,415,15.1,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4081,1695,1425,2471,190,235,0.651,45.1,2.4,"nominal51","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1527,42,23,5000,800,5450,9999,7.82,9999,9999,18.7,900,480,21.4,"nominal15","nominal21",1,"nominal28","nominal35","nominal40","nominal44",3720,1585,1440,2360,146,95,0.651,36.4,2.752,"missing_value","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,3750,860,5000,9999,13.92,9999,9,13.1,1313,532,19.9,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4397,1735,1485,2515,180,210,0.678,45.1,2.576,"nominal51","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1896,50,20,4200,850,5050,9999,8.82,9999,11.2,17.3,1159,460,23.2,"nominal15","nominal21",1,"nominal28","nominal34","nominal39","nominal47",4137,1640,1459,2444,158,133,0.706,38.8,2.732,"nominal51","nominal57"
4.2,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,3750,860,5000,9999,13.92,9999,8.5,12.8,1168,460,17.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4137,1640,1459,2444,176,210,0.706,46.8,2.264,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,4000,790,5000,9999,13.92,9999,8.8,13.5,1265,550,19.2,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4479,1733,1416,2617,182,210,0.629,43.7,2.656,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1753,55,19,4000,9999,9999,9999,10.04,9999,9999,14.3,1050,500,19.1,"nominal15","nominal22",1,"nominal29","nominal34","nominal38","nominal48",3828,1634,1334,2446,168,140,0.662,36.7,2.93,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,9999,9999,15.58,9999,9999,11.2,1271,514,15.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4439,1742,1436,2513,193,235,0.654,45.1,2.576,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,9999,9999,15.58,9999,9999,11.5,1300,545,16,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4511,1731,1429,2512,192,235,0.656,43.9,2.6,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1896,85,18,4000,900,5000,9999,18.89,9999,7.3,10.7,1344,556,15.8,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal45",4675,1740,1459,2703,200,285,0.624,47.6,2.439,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,4000,860,5000,9999,13.92,9999,9.2,13.5,1305,555,19.8,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4675,1740,1459,2703,184,210,0.581,43.7,2.656,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,5000,9999,15.58,9999,9999,11.3,1314,556,16.2,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4675,1740,1459,2703,196,235,0.581,49.4,2.352,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1527,40,23,5000,800,5450,9999,7.82,9999,9999,18.3,890,480,22.3,"nominal15","nominal21",1,"nominal28","nominal35","nominal40","nominal44",3718,1595,1368,2385,158,95,0.619,35.7,2.884,"missing_value","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1870,72,21,4000,9999,9999,9999,13.44,9999,9999,11.9,1085,495,15.1,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal47",3931,1698,1366,2463,186,200,0.627,35.4,3.75,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1994,74,20,4200,9999,9999,9999,15.13,9999,9999,10.6,1230,490,16.6,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4517,1696,1394,2620,185,240,9999,43.1,2.556,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1994,74,20,4200,9999,9999,9999,15.13,9999,9999,10.6,1230,490,16.6,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4517,1696,1394,2620,185,240,9999,43.1,2.556,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,4000,790,5000,9999,13.92,9999,9,13.8,1305,550,19.8,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4479,1733,1416,2617,178,210,0.653,43.7,2.656,"nominal51","nominal57"
4.3,"nominal1","nominal8","nominal9",4,"nominal12",1896,50,20,4200,900,5050,9999,8.82,9999,11.8,18.5,1280,535,25.6,"nominal15","nominal21",1,"nominal28","nominal34","nominal39","nominal47",4397,1735,1485,2515,160,133,0.678,38.5,3.18,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1896,85,18,4000,900,5000,9999,20.55,9999,9999,10.5,1285,550,15.1,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal45",4479,1733,1416,2617,200,310,0.629,47.6,2.439,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,4000,860,9999,9999,13.92,9999,9999,13,1245,525,18.9,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4439,1742,1436,2513,181,210,0.654,45.3,2.562,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,4000,850,5000,9999,9999,9999,9999,13.5,1285,545,19.5,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4511,1731,1429,2512,178,210,0.656,45.1,2.576,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1870,72,21,4000,9999,9999,9999,13.44,9999,9999,12.3,1075,650,14.9,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal47",4400,1698,1419,2575,183,200,0.617,42.5,2.5,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1870,72,21,4000,9999,9999,9999,13.44,9999,9999,12.3,1055,650,14.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal47",4129,1696,1419,2575,183,200,0.637,42.5,2.5,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1910,77,18,4000,9999,9999,9999,13.16,9999,9999,10.4,1170,510,15.2,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal43",4025,1755,1420,2540,187,200,9999,38.1,2.8,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1998,66,19,4000,9999,9999,9999,13.84,9999,9999,12.2,1255,440,19,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal48",4315,1705,1410,2610,178,220,9999,47,2.319,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1998,66,19,4000,9999,9999,9999,13.84,9999,9999,12.2,1270,445,19.2,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal48",4200,1705,1420,2610,178,220,0.592,47,2.319,"nominal51","nominal57"
4.4,"nominal1","nominal7","nominal9",4,"nominal12",998,50,10,6000,550,9999,9999,11.33,9999,9999,13.8,840,415,16.8,"nominal15","nominal20",2,"nominal28","nominal33","nominal38","nominal42",3615,1660,1500,2370,155,90,9999,29,3.7,"nominal50","nominal54"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1896,85,18,4000,900,5000,9999,20.55,9999,9999,10.7,1320,550,15.5,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal45",4479,1733,1416,2617,196,310,0.653,47.6,2.439,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1896,85,18,4000,900,5000,9999,18.89,9999,7.5,11.1,1351,529,15.9,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal45",4397,1735,1485,2515,195,285,0.678,55.1,2.18,"nominal51","nominal57"
4.4,"nominal1","nominal8","nominal9",4,"nominal12",1896,85,18,4000,900,5000,9999,18.89,9999,7.5,11.1,1361,519,16,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal45",4409,1735,1485,2515,195,285,0.678,55.1,2.18,"nominal51","nominal57"
4.5,"nominal2","nominal7","nominal9",3,"nominal12",599,40,10,5250,800,6000,6000,18.46,7.7,11.4,17.5,730,260,18.3,"nominal15","nominal18",1,"nominal29","nominal33","nominal39","nominal42",2514,1537,1548,1812,135,88,9999,35.7,2.933,"nominal50","nominal54"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1995,74,19,4300,800,9999,9999,14.49,9999,9999,12,1300,445,17.6,"nominal15","nominal24",1,"nominal29","nominal34","nominal38","nominal46",4110,1709,1425,2606,188,230,0.609,46.4,2.55,"nominal51","nominal57"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1995,60,19,4300,800,9999,9999,11.65,9999,9999,15.5,1320,560,22,"nominal15","nominal24",1,"nominal29","nominal34","nominal38","nominal46",4495,1707,1425,2637,178,185,0.557,42.5,2.7,"nominal51","nominal56"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1995,74,19,4300,800,9999,9999,12.91,9999,9999,13,1320,570,17.8,"nominal15","nominal24",1,"nominal29","nominal34","nominal38","nominal46",4495,1707,1425,2637,195,205,0.557,42.5,2.7,"nominal51","nominal57"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1997,80,18,4000,780,9999,9999,15.73,9999,9999,12.5,1436,474,18,"nominal17","nominal21",1,"nominal29","nominal34","nominal38","nominal43",4524,1755,1400,2740,191,250,0.686,46.2,2.478,"nominal51","nominal57"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1997,80,18,4000,780,9999,9999,15.73,9999,9999,12.5,1500,430,18.8,"nominal17","nominal21",1,"nominal29","nominal34","nominal38","nominal43",4524,1755,1400,2740,191,250,0.686,46.2,2.478,"nominal51","nominal57"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1910,77,18,4000,9999,9999,9999,16.78,9999,9999,10.4,1210,520,15.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal43",4093,1712,1431,2540,185,255,9999,43.8,2.416,"nominal51","nominal57"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1910,77,18,4000,9999,9999,9999,13.16,9999,9999,10.6,1195,540,15.5,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal43",4187,1741,1420,2540,185,200,9999,38.1,2.8,"nominal51","nominal57"
4.5,"nominal1","nominal7","nominal9",4,"nominal12",899,29,9,5500,850,9999,9999,9.09,9999,9999,18,735,465,25.3,"nominal16","nominal20",1,"nominal28","nominal36","nominal39","nominal42",3319,1508,1440,2200,150,65,9999,28.5,3.47,"nominal50","nominal54"
4.5,"nominal1","nominal7","nominal9",4,"nominal12",1108,40,10,5500,9999,9999,9999,9.75,9999,9999,14.8,750,450,18.8,"nominal15","nominal21",1,"nominal28","nominal36","nominal39","nominal42",3319,1508,1440,2200,150,86,9999,35.6,2.729,"nominal50","nominal54"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1998,74,19,4000,9999,9999,9999,13.84,9999,9999,11.5,1265,510,17.1,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal46",4590,1710,1430,2610,185,220,0.658,45.9,2.455,"nominal51","nominal57"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1998,74,19,4000,9999,9999,9999,13.84,9999,9999,11.5,1285,510,17.4,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal46",4590,1710,1430,2610,185,220,0.658,45.9,2.455,"nominal51","nominal57"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1896,66,20,4000,860,5000,9999,13.92,9999,9.4,13.8,1350,550,20.5,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal47",4669,1740,1496,2703,178,210,0.688,43.7,2.656,"nominal51","nominal57"
4.5,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,860,5000,9999,15.58,9999,7.5,11.5,1360,550,16.8,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4669,1740,1496,2703,190,235,0.645,49.4,2.352,"nominal51","nominal57"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1689,66,19,4200,760,4850,4650,13.39,5.5,8.7,13.3,1110,435,16.8,"nominal15","nominal19",2,"nominal29","nominal34","nominal38","nominal43",3575,1719,1575,2423,168,180,0.736,48,2.199,"nominal51","nominal55"
4.6,"nominal2","nominal8","nominal9",4,"nominal12",2148,85,18,4200,750,4750,4600,14.63,9999,9999,12.1,1430,555,16.8,"nominal15","nominal19",2,"nominal29","nominal34","nominal38","nominal43",4526,1728,1426,2715,203,250,9999,53.4,2.173,"nominal50","nominal57"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1896,81,20,4150,830,5000,9999,15.58,9999,8.7,12.6,1430,580,17.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal38","nominal44",4796,1810,1452,2760,194,235,0.613,45.8,2.527,"nominal51","nominal57"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1995,74,19,4300,800,9999,9999,14.49,9999,9999,12,1320,445,17.8,"nominal15","nominal24",1,"nominal29","nominal34","nominal38","nominal46",4252,1709,1425,2606,188,230,0.589,46.4,2.55,"nominal51","nominal57"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1995,74,19,4300,800,9999,9999,14.49,9999,9999,12,1320,445,17.8,"nominal15","nominal24",1,"nominal29","nominal34","nominal38","nominal46",4110,1709,1425,2606,188,230,0.629,46.4,2.55,"nominal51","nominal57"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1995,60,19,4300,800,9999,9999,11.65,9999,9999,14.5,1225,520,20.4,"nominal15","nominal18",1,"nominal29","nominal34","nominal38","nominal48",4110,1709,1425,2606,175,185,0.609,41.9,2.768,"nominal51","nominal56"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1995,60,19,4300,800,9999,9999,11.65,9999,9999,15.5,1335,560,22.3,"nominal15","nominal24",1,"nominal29","nominal34","nominal38","nominal46",4495,1707,1425,2637,178,185,0.557,42.5,2.7,"nominal51","nominal56"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1995,74,19,4300,800,9999,9999,12.91,9999,9999,13,1335,570,18,"nominal15","nominal24",1,"nominal29","nominal34","nominal38","nominal46",4495,1707,1425,2637,195,205,0.557,42.5,2.7,"nominal51","nominal57"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1997,66,18,4000,9999,9999,9999,12.9,9999,9999,14.9,1300,550,19.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal43",4276,1751,1637,2760,172,205,0.782,45.4,2.51,"nominal51","nominal57"
4.6,"nominal1","nominal8","nominal9",4,"nominal12",1997,66,18,4000,9999,9999,9999,12.9,9999,9999,14.9,1300,550,19.7,"nominal15","nominal21",1,"nominal29","nominal34","nominal39","nominal43",4276,1751,1637,2760,172,205,0.782,45.4,2.51,"nominal51","nominal57"
