class,pgain,vgain,motor_A,motor_B,motor_C,motor_D,motor_E,screw_A,screw_B,screw_C,screw_D,screw_E
4.6999955,3,2,1,0,0,0,0,0,0,1,0,0
1.1,3,1,0,0,0,0,1,0,0,1,0,0
1.8999897000000001,3,2,0,0,0,0,1,0,1,0,0,0
0.24375070000000001,4,1,0,1,0,0,0,0,0,0,1,0
0.58125305,4,2,0,0,0,0,1,0,1,0,0,0
0.46875226,4,2,1,0,0,0,0,0,0,0,0,1
1.1062483,4,3,1,0,0,0,0,1,0,0,0,0
4.499986,3,2,1,0,0,0,0,0,1,0,0,0
0.35625148,4,2,0,0,1,0,0,0,0,1,0,0
1.2999973999999999,3,2,0,0,0,1,0,0,0,1,0,0
0.5437528,6,3,0,0,1,0,0,1,0,0,0,0
4.299976999999999,3,1,0,0,1,0,0,1,0,0,0,0
0.431252,4,1,0,0,1,0,0,0,1,0,0,0
0.20625044,4,1,0,0,1,0,0,0,0,0,1,0
0.46875226,4,2,1,0,0,0,0,0,0,0,1,0
0.46875226,6,5,0,0,1,0,0,0,0,0,0,1
3.8999639999999998,3,1,0,1,0,0,0,0,0,0,1,0
0.431252,5,4,0,0,0,0,1,0,1,0,0,0
0.5437528,5,2,0,0,1,0,0,1,0,0,0,0
0.99375594,4,3,1,0,0,0,0,0,0,1,0,0
1.0312537,4,1,0,0,0,1,0,1,0,0,0,0
4.6999955,3,2,1,0,0,0,0,0,0,0,1,0
0.46875226,5,4,0,1,0,0,0,0,0,1,0,0
0.69375384,4,1,0,0,0,1,0,0,1,0,0,0
3.8999639999999998,3,1,0,1,0,0,0,0,0,1,0,0
0.24375070000000001,4,2,0,0,1,0,0,0,0,0,1,0
0.58125305,5,4,1,0,0,0,0,0,1,0,0,0
4.499986,3,2,1,0,0,0,0,0,0,0,0,1
0.35625148,6,5,0,0,0,1,0,0,1,0,0,0
3.8999639999999998,3,1,1,0,0,0,0,0,0,1,0,0
