usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
0,60,78,1839,203,129,0.8,1.2,603041,462290,2823.0,77,23
96,1,0,475,77,45,0.8,1.0,157874,16216,2.2,1052,1723310
91,7,4,1911,255,198,1.0,0.8,22534,24164,2.0,1211,1133518
94,11,5,1779,83,58,1.0,7.6,44176,42676,2.2,907,1535013
62,48,0,2778,235,111,11.8,34.0,171649,124322,4.7,181,1103187
86,6,4,2763,249,112,1.6,3.2,132672,25607,1.0,320,1123400
93,2,2,1935,280,274,0.4,1.4,57186,32631,1.7,552,1045416
86,3,1,572,120,31,2.8,2.8,90781,61249,1.2,5759,1847078
95,17,14,2406,98,78,0.4,2.0,22998,33809,3.0,7657,1370880
95,1,0,2135,68,103,0.2,0.2,3939,12896,2.6,1416,1725048
86,2,0,1484,257,364,1.4,1.6,191652,98350,4.2,177,1703526
97,0,0,556,47,36,0.2,0.2,1332,14788,3.0,1277,1712936
88,4,1,548,80,85,2.2,1.8,257084,218771,1.6,5861,1849299
58,54,34,5657,777,594,11.4,6.8,446525,68465,2.0,424,1031053
89,5,3,3618,246,176,0.2,0.2,100084,224588,3.8,181,1519798
89,2,0,1894,176,144,1.0,1.4,68498,79861,3.0,2393,1092941
90,1,0,1541,146,118,0.6,0.8,28217,19883,2.7,167,1098957
0,12,7,1279,105,65,0.8,2.59,38119,32996,545.0,91,9
56,87,57,3900,216,143,12.38,33.93,220639,88324,2.0,165,1104481
91,2,0,2590,167,248,0.8,0.4,117072,179675,2.4,539,1759701
0,67,66,1117,430,154,0.4,0.2,631396,632869,688.0,94,6
88,15,5,1795,343,209,1.0,1.0,91247,93705,2.0,112,1527192
96,3,1,362,37,44,0.8,1.0,37567,32976,2.0,284,1719747
90,12,12,4098,138,141,0.2,0.2,10405,26548,1.2,952,975870
72,53,71,4201,461,384,4.2,2.8,185684,64437,1.6,240,984506
77,6,5,1892,136,109,1.6,2.0,622687,114823,1.0,242,987955
80,55,69,4194,278,195,2.79,1.8,199257,49131,2.2,340,1090001
66,25,14,4621,503,191,10.4,10.6,405253,204578,5.8,2976,1040554
87,1,0,4685,252,275,0.2,0.2,15340,159534,1.0,599,1058715
76,5,0,3661,363,371,3.81,1.2,334091,139933,1.7,377,1036935
98,15,21,218,11,17,0.2,0.2,10365,48741,1.0,7379,1859400
78,33,35,3332,479,415,7.6,2.4,200556,15057,4.0,1992,1718714
0,10,4,2685,362,243,2.79,1.0,765585,659609,144.0,84,16
78,41,23,4062,257,153,3.2,4.0,389889,47269,7.0,350,1311875
95,52,70,1699,125,106,0.2,0.2,6046,26711,1.8,536,977066
87,54,40,2764,184,123,3.2,3.4,175671,137509,6.2,3387,1601147
97,1,0,1925,88,96,0.2,0.2,3715,12124,2.0,1414,1725048
63,18,2,6671,1381,1345,5.4,2.2,1066971,1049237,1.0,899,1057339
90,3,1,2860,267,154,0.4,0.8,196799,168812,1.0,278,1068418
96,1,0,607,81,45,0.2,0.2,2174,6138,2.8,962,1711923
92,31,38,1145,143,124,3.19,1.0,81774,6003,1.6,7313,1860552
90,21,4,3092,242,180,1.4,1.6,122507,16070,2.4,1135,1524046
83,1,0,4732,446,198,1.2,2.8,120247,224578,2.8,329,1382184
94,3,0,1514,58,51,1.0,1.0,43703,26727,1.0,208,1001206
80,55,59,5513,327,213,0.4,0.4,122053,99901,1.2,228,981948
94,1,0,3365,145,109,0.2,0.2,4215,18277,1.2,689,1738140
84,16,9,6172,372,208,1.4,4.2,341591,161886,3.8,4081,1343858
96,9,7,919,61,63,0.6,0.4,23544,42471,2.2,506,1532699
96,0,0,905,57,47,0.6,0.4,56722,10728,1.0,5813,1818853
91,24,11,2682,212,193,1.0,0.8,122747,89983,1.2,263,1074010
97,1,0,600,37,40,0.2,0.2,4767,19880,1.5,289,1018485
83,1,0,2792,411,245,0.6,2.0,182393,43918,1.0,680,1120920
85,2,1,3673,359,167,0.8,0.8,260107,50871,1.7,393,1127054
67,26,2,5404,475,246,6.2,16.4,328399,196650,3.8,122,1091184
96,0,0,404,55,41,0.2,0.2,2133,12253,2.0,696,1722088
81,8,1,2372,342,317,7.2,2.0,188778,93028,1.2,6825,1853173
97,2,1,710,40,41,0.2,0.2,2913,18830,1.0,684,1039054
86,20,17,2003,180,105,2.2,2.2,115928,48771,3.4,343,1018272
79,4,0,4652,762,692,2.8,1.4,602266,574167,4.4,461,1095811
82,26,1,2050,145,111,4.8,4.8,39860,75624,1.7,160,1063896
97,2,1,266,34,18,0.2,0.2,91816,3993,1.2,7404,1869613
87,3,1,4153,313,158,0.8,1.2,108978,27688,1.4,212,1011496
86,4,0,2139,192,76,2.8,4.0,254183,69772,1.8,218,1752714
93,3,3,1236,248,144,0.4,0.4,150286,148238,3.0,1937,1577413
97,2,1,249,15,24,0.4,1.0,43745,23849,1.0,8355,1864778
0,18,6,2174,231,135,2.0,3.4,168211,43126,368.0,85,14
59,212,208,6286,761,581,8.02,2.4,1079757,207983,3.8,154,1082132
84,31,28,3930,194,169,2.2,3.0,118913,168930,1.5,349,989998
50,15,5,7183,845,609,9.98,6.99,314269,47208,8.6,241,1436899
86,5,0,1917,276,225,4.8,1.4,225592,9647,1.2,6776,1840662
84,17,13,4699,823,422,0.8,0.8,78499,25513,4.2,360,1536730
99,0,0,159,15,16,0.2,0.2,452,2755,1.0,7360,1865208
79,30,41,1298,133,179,1.4,1.8,240956,551071,1.8,845,1723450
88,4,0,4492,348,334,0.2,0.2,78672,78979,3.0,310,1045501
95,37,53,1209,83,81,0.2,0.2,9480,33242,1.0,477,1060016
83,31,45,5475,316,316,0.8,0.8,95638,385608,2.8,232,1377392
79,3,0,2792,341,251,2.4,3.39,758562,251742,2.8,598,1039615
68,7,3,4821,472,459,2.59,3.59,520991,570078,4.5,1133,988041
98,0,0,217,10,19,0.2,0.2,3477,64742,1.0,7746,1870136
91,2,0,3174,430,189,0.4,1.4,258274,192465,4.4,239,1539834
94,2,0,1576,70,67,0.4,1.2,5597,19216,1.0,935,1074077
86,5,3,3590,263,203,1.0,3.81,596993,101007,1.0,239,992026
89,13,3,2120,277,214,0.8,2.2,62230,30983,2.2,3105,1737642
57,755,207,9934,2396,1645,7.4,3.4,1494946,1312695,6.8,151,1307638
91,0,0,1977,256,133,0.6,2.61,225802,37213,2.2,299,1105616
94,7,4,900,76,107,0.6,2.4,24530,33419,1.0,495,1014379
93,2,1,1395,99,130,0.6,0.6,112895,89579,2.0,195,1708013
74,11,0,4669,536,460,8.38,2.4,389919,19976,3.4,4130,1720584
0,1,0,3083,219,152,0.2,0.2,107127,81287,147.0,83,16
79,10,0,3003,447,383,9.0,2.8,273594,10059,3.4,8659,1865656
94,9,1,1429,163,69,0.2,0.2,179877,18764,2.4,2275,1698706
74,25,22,5511,398,245,2.6,2.4,124777,90042,1.5,428,1000051
89,4,0,2410,118,98,1.0,3.4,115205,174195,1.0,240,1053811
92,9,6,1408,147,111,0.8,0.8,94565,20446,1.4,1994,969677
98,19,28,195,13,17,0.2,0.2,5112,44704,1.0,7480,1865456
71,4,0,3708,427,350,3.39,1.0,543727,727869,1.6,127,1009038
93,4,2,2550,328,203,0.4,0.4,10001,104087,2.3,338,1069949
82,54,21,3709,243,140,4.6,5.4,265286,116407,5.6,2836,1565138
94,2,1,1140,113,116,0.6,0.6,7927,47988,2.0,698,1062855
95,0,0,568,54,50,0.4,0.6,4835,16186,1.0,715,1033664
77,10,0,2665,496,314,6.8,2.4,214887,11611,4.0,448,1719106
86,30,22,1967,94,74,1.2,2.0,167772,92963,3.2,7647,1370671
74,196,197,7054,594,351,4.0,4.8,582061,265288,5.2,170,1339541
0,45,31,2366,465,225,5.77,3.98,635457,467915,453.0,81,19
66,23,6,7129,691,516,8.58,2.59,758159,113632,3.2,152,1076744
0,8,1,885,139,63,0.4,0.4,118533,21572,450.0,92,8
84,28,13,3753,371,248,4.6,7.8,487032,117631,5.4,2341,1330541
76,252,270,3919,612,553,5.2,1.8,302760,180215,1.5,461,965438
92,45,49,1883,134,118,0.4,0.4,122276,39706,1.0,1096,999726
96,27,42,234,23,27,0.2,0.2,7179,8894,1.6,6660,1852606
0,17,1,1919,278,210,3.61,1.2,295943,60406,126.0,85,15
0,14,10,1338,123,128,0.6,0.4,122682,43380,167.0,88,12
93,6,0,921,109,81,0.8,0.8,155425,33179,1.0,160,1092378
90,1,1,1811,226,132,0.6,0.6,314015,45517,1.0,486,1115851
63,43,0,3443,274,98,11.62,34.87,685449,55666,3.5,254,1091921
89,186,204,416,44,33,1.99,1.99,77138,42947,2.2,7837,1860077
81,34,21,2783,251,178,3.99,2.79,329611,106187,4.0,8614,1367184
69,7,0,4182,542,268,5.2,3.0,2007279,22593,4.0,118,1373266
88,14,7,2823,194,119,1.4,3.6,195576,114991,2.4,1996,1548301
91,3,1,3060,154,106,0.8,0.8,27921,19649,2.0,535,1735083
67,17,4,6199,483,104,11.02,36.27,202036,43309,1.0,133,1006331
96,2,1,310,43,39,0.8,0.8,29399,9719,1.0,6808,1841216
59,58,62,6565,679,551,11.2,4.6,358824,52641,1.8,855,1054050
96,1,0,746,115,86,0.2,0.2,7705,17882,1.0,381,1739376
70,14,8,3941,337,187,5.8,14.6,241200,167242,1.0,248,1103957
94,0,0,200,18,22,0.2,0.2,641,7160,1.8,4133,1781096
70,13,9,6431,324,175,2.99,9.78,340837,108188,2.6,175,1388778
58,47,1,3817,210,151,12.0,34.8,229231,34353,2.6,162,1095566
95,47,65,2181,78,86,0.2,0.2,16114,88636,2.4,760,1645581
93,13,11,1213,139,129,2.0,1.0,170892,33003,1.0,856,998221
66,219,109,5165,558,462,5.6,1.6,279042,155638,1.0,140,1017734
76,6,0,1705,332,189,5.6,14.2,700086,111956,4.6,2050,1724243
95,0,0,1297,103,45,0.2,0.2,346042,11105,4.0,1286,1712987
80,4,0,1108,179,138,3.4,2.2,231882,71409,1.8,307,1806805
97,6,3,320,21,77,0.6,1.0,23609,116219,2.0,6521,1705557
86,78,89,2986,361,79,1.39,0.6,239193,48069,6.2,277,1283260
90,3,0,1193,145,152,0.8,2.6,217173,106950,1.0,576,1066038
78,28,28,2755,385,340,7.82,2.2,249104,74852,2.0,7525,1868382
86,0,0,1665,117,80,0.4,0.8,4611,45409,2.6,433,1754104
94,2,0,2035,98,66,0.8,0.8,104168,49244,2.2,4680,1727440
91,0,0,255,32,32,0.2,0.2,1430,7410,1.6,1196,1767021
67,14,1,3532,235,175,10.8,32.0,201549,27048,1.0,143,1077171
80,18,2,3726,444,224,5.0,3.2,202871,62296,1.5,161,1075733
98,0,0,380,37,23,0.2,0.2,1007,4477,1.0,881,1737892
63,20,1,4250,332,155,8.2,27.0,559345,28785,1.6,173,1083291
77,20,8,2207,208,97,2.8,4.4,252626,99620,2.0,483,1014834
78,16,1,3609,417,350,5.4,2.0,221199,68804,3.2,741,1530386
83,2,0,7713,385,241,0.4,0.4,104459,31817,1.0,981,1077842
93,1,0,1138,296,248,0.2,0.2,239090,207539,2.0,1712,1763360
81,3,0,464,39,35,2.0,2.0,73449,37326,2.2,2652,1796053
56,79,28,8284,691,447,9.6,12.0,465858,141015,8.6,271,1596195
78,30,2,2242,133,75,6.6,18.2,207579,25105,2.2,1668,1110758
89,1,0,722,33,31,0.4,1.8,908,7635,3.4,521,1715288
65,29,2,4586,526,491,11.58,7.78,342195,266494,2.0,1309,1032302
79,28,36,2862,193,101,3.8,4.2,217700,62552,2.4,390,1767661
87,7,2,2576,157,118,0.4,0.6,317672,104149,1.6,147,981075
90,3,2,1974,309,196,0.6,2.0,7450,26728,2.5,207,1100702
90,1,1,1166,143,90,0.2,0.2,35499,54499,2.5,277,1068827
0,47,41,1241,123,81,1.8,2.8,224930,43021,364.0,88,12
95,2,1,2161,208,121,0.0,0.0,8981,30912,2.2,287,1537754
97,0,0,201,17,22,0.2,0.2,23893,34205,1.0,2839,1773744
89,21,18,2284,242,255,0.6,0.6,116690,207556,3.6,356,1068194
96,15,14,526,81,48,0.4,0.6,115860,129640,3.6,909,1748992
93,1,1,2609,117,89,0.4,1.0,14928,84242,5.0,332,974861
94,3,0,4033,179,117,0.2,0.2,783205,106035,3.6,2591,1635614
74,12,8,4600,231,189,2.8,8.0,264988,252353,4.6,326,1524637
94,16,15,623,130,61,0.2,0.2,228717,134209,4.6,578,1742218
97,1,0,266,50,40,0.2,0.2,986,7095,2.0,6343,1724179
95,2,2,2379,220,221,0.2,0.2,23448,54657,2.0,1147,1056250
96,3,2,1126,136,106,0.2,0.2,11318,27334,3.0,422,993879
97,19,25,197,15,18,0.2,0.2,7457,4595,1.2,7548,1870232
79,22,2,3538,415,392,7.2,2.0,239000,55448,4.0,2003,1530184
94,1,0,905,63,37,1.0,1.4,74842,14846,1.0,1712,1009738
98,1,1,167,12,18,0.2,0.2,12365,15635,1.0,8337,1867503
54,28,3,3425,146,84,15.0,38.8,363364,29405,1.2,235,1082774
67,83,47,5277,407,342,7.39,17.37,372409,262232,2.6,389,1098108
74,14,0,4719,495,282,4.2,5.8,437927,35992,2.8,294,1048386
87,3,1,1039,237,123,1.2,1.6,493948,152437,1.2,3462,1741133
96,0,0,1751,43,51,0.2,0.2,47969,32606,2.2,156,1760072
94,3,1,1395,113,60,0.8,1.4,92509,18384,3.0,812,1067821
85,4,1,2753,225,143,1.0,1.2,930934,362163,4.2,116,1543341
67,26,1,5901,754,581,10.22,2.81,975989,30641,3.0,191,1081557
0,19,1,3302,238,139,3.01,4.41,522596,56297,389.0,84,16
55,49,0,5310,276,176,13.43,31.66,241989,26572,2.5,272,1108731
96,2,1,542,89,65,0.4,0.4,2453,16876,2.2,667,1721728
96,1,0,1407,59,63,0.2,0.2,9532,14289,3.0,1225,1723778
85,212,208,4232,406,255,1.2,2.0,388291,161853,3.4,422,1334416
94,2,1,1896,121,107,0.2,0.2,106415,47198,2.0,259,1016510
90,0,0,1724,206,157,0.4,0.6,134961,336338,5.6,1883,1601197
90,7,2,1655,143,82,0.6,1.0,169343,32311,2.0,711,971296
88,8,2,2995,201,168,1.2,3.4,63991,34680,2.0,1964,969021
88,0,0,328,48,44,0.2,0.2,139217,9468,2.0,621,1758632
73,185,197,2262,184,112,7.4,19.6,100959,48706,3.6,356,1095504
93,3,1,538,23,53,1.8,3.6,42074,158460,1.2,6854,1853379
64,30,8,4113,479,348,10.0,18.2,239482,38730,1.7,210,1083712
87,81,100,2467,86,79,2.0,8.8,31296,67249,3.0,141,1526331
90,3,0,2484,181,82,1.6,3.61,127530,49770,2.0,536,1068205
0,0,0,1021,57,48,0.2,0.2,37328,46619,216.0,98,2
0,50,65,2292,357,201,0.4,1.8,181979,75166,147.0,88,12
76,2,1,5919,314,357,1.2,1.2,262742,668483,2.0,283,980139
85,3,0,478,67,39,2.2,2.2,206591,47523,1.6,416,1815674
98,23,33,162,8,17,0.2,0.2,7001,18992,1.2,7579,1878621
66,19,9,4082,666,553,6.8,4.8,550139,245244,2.4,219,1033072
68,17,6,4805,565,701,9.0,3.2,418659,75421,6.0,333,1439998
98,9,9,186,19,18,0.2,0.2,3472,11255,1.0,417,1757288
95,1,0,1395,123,60,0.2,0.2,255917,16050,1.4,284,1745434
88,10,2,2180,308,162,2.0,1.8,70457,48047,3.2,1100,1534987
92,1,0,481,101,96,0.2,0.2,162345,131193,3.8,403,1711790
90,20,19,3001,211,129,0.4,1.4,17274,51893,1.8,174,1128501
96,2,1,818,54,50,0.2,0.2,1114,13939,1.0,133,1014048
89,2,0,453,43,36,2.2,2.2,136424,57700,2.0,6264,1853056
84,42,43,768,58,54,2.0,2.0,69166,35674,2.0,2691,1795552
78,5,3,3747,533,287,3.19,3.79,466175,605903,2.7,441,1038063
89,7,5,3577,180,135,0.6,3.01,100188,34902,1.0,517,984358
88,25,36,1504,83,85,0.4,0.6,135516,65096,1.6,3572,1772755
93,5,4,3011,128,157,0.2,0.2,9034,316545,2.2,276,1392184
85,8,1,3276,193,145,1.8,3.2,41480,102652,1.0,1182,1111248
96,3,2,394,18,52,0.4,0.4,27574,144877,1.2,6887,1852704
69,155,145,8441,326,222,2.2,7.78,319257,126880,5.2,1579,1330772
90,4,0,2107,142,86,0.8,3.8,35105,26504,3.2,161,1107042
91,2,0,1557,97,84,2.0,2.4,41239,16244,3.4,518,1053942
80,15,6,4172,321,179,1.4,1.8,218370,133098,3.0,294,1526027
90,19,16,4159,287,180,0.4,0.2,314222,142441,4.2,199,1323206
91,35,50,2068,111,82,0.6,0.6,184724,37429,2.4,219,1085546
89,7,1,1415,163,120,0.6,0.8,60245,42952,1.0,1214,976187
93,3,1,1044,32,44,1.2,2.6,54971,146349,1.4,6888,1852709
93,1,0,2699,88,157,0.2,0.2,5087,38464,2.2,213,1709248
96,0,0,2288,61,60,0.2,0.2,22154,28667,2.6,521,1759688
68,48,39,3596,398,288,2.81,4.61,449827,208527,1.6,140,993279
63,45,0,3575,217,131,11.6,35.0,197409,41178,2.2,135,1091397
96,3,3,245,14,18,0.6,0.6,7337,7968,1.2,7393,1865622
90,3,1,390,35,20,2.2,2.59,62164,23300,1.6,8891,1868560
0,172,113,1427,171,134,0.6,3.39,261636,103649,744.0,92,8
87,3,0,2409,183,158,2.2,3.01,149023,57004,3.2,193,1057406
83,53,72,2053,321,159,0.4,0.6,514922,29391,2.5,168,1130139
91,0,0,1774,100,66,0.4,1.8,109071,26956,1.0,176,1009816
93,2,1,929,133,17,0.6,1.2,1031503,55161,1.8,8515,1868604
93,32,41,467,106,51,0.8,2.0,80631,5836,2.0,6231,1709760
86,11,2,2485,265,147,1.4,2.8,496095,18723,1.5,460,1131946
0,5,1,2299,291,111,1.2,4.0,783300,534138,141.0,89,11
80,98,126,4032,143,79,1.8,2.4,464450,40608,6.0,7804,1371829
77,51,43,2855,338,262,7.2,5.2,224173,133492,1.5,231,960576
84,1,0,3894,274,146,0.2,0.2,260849,109891,3.0,148,1029790
94,2,1,1425,74,58,0.4,0.6,203335,53824,1.4,5792,1832846
94,1,0,1592,93,69,0.4,1.8,39733,37995,1.2,2906,1050522
92,36,49,1394,117,94,0.6,2.0,39790,23048,1.0,159,1098501
88,178,192,2040,142,115,2.0,4.4,73754,79125,2.5,348,1025120
98,0,0,156,16,21,0.2,0.2,436,7606,1.0,256,1756335
87,3,1,583,58,110,1.2,4.2,5458,533869,3.4,276,1714979
98,1,1,214,31,30,0.2,0.2,17682,12325,1.4,8801,1835578
69,234,88,3259,483,287,6.39,17.17,1023657,222304,4.2,425,1088819
87,5,0,1894,220,173,3.4,1.0,164014,22150,1.0,190,1026021
70,20,13,3062,299,134,6.8,21.0,177292,30180,1.5,119,1114483
98,18,28,281,22,19,0.2,0.2,3344,13554,1.2,6363,1852585
90,77,98,2220,146,90,0.4,1.8,111903,52092,1.3,148,1102810
77,8,2,4551,974,337,0.8,2.39,596214,74507,1.2,117,1038378
83,16,7,5260,356,340,2.2,7.8,30065,28222,2.6,2224,1551408
89,4,2,2065,171,133,1.6,1.4,47486,64173,2.5,531,1059970
89,2,0,461,44,64,1.2,0.8,24720,20705,2.0,534,1742819
94,1,0,1817,128,103,0.4,1.8,26502,27641,1.0,201,1028013
89,23,9,3676,171,126,1.4,1.6,27496,46688,6.2,918,1313874
72,193,213,4585,385,330,0.6,0.6,561341,494475,2.0,1041,1018917
0,12,5,745,82,83,1.2,0.8,56291,47669,1556.0,92,8
83,0,0,2210,135,69,0.4,0.4,226358,24348,2.6,236,1742238
85,1,0,3810,363,251,1.0,0.4,51395,229561,3.7,390,1017385
60,59,54,6294,593,342,6.39,2.79,897218,60330,4.4,134,1525084
95,1,0,341,44,47,0.6,0.6,913,23172,1.0,587,1730664
91,10,10,1752,206,116,0.6,0.4,492823,51586,1.0,168,1102458
89,42,60,1256,88,89,0.6,1.8,101694,34680,2.0,973,1130743
81,3,0,1755,344,251,2.6,5.8,686906,120820,2.8,2492,1730610
88,1,0,2528,246,143,0.6,1.8,31990,48475,2.3,828,1116351
96,2,0,522,36,33,0.8,0.6,3011,14854,1.0,177,1066296
81,9,5,3414,433,231,1.6,6.01,323068,110155,1.5,512,1096037
90,24,33,2750,160,140,0.8,0.2,27531,88516,2.6,1018,1647146
89,11,4,3344,175,106,1.8,7.0,170377,98441,4.8,2977,1546898
95,4,0,1297,85,84,0.8,4.0,135129,145989,2.4,375,1534925
87,6,1,2961,458,401,2.4,0.8,260714,202105,2.7,217,1006899
93,28,38,2089,139,132,0.6,0.6,39676,74809,2.7,2041,1860174
85,3,1,3909,214,109,2.19,5.38,155848,27340,1.5,179,1023871
87,3,1,442,46,30,2.2,2.2,105052,44010,1.2,11466,1877964
91,3,2,1710,131,122,0.6,1.0,68306,103547,3.2,493,1063110
91,7,1,2544,135,126,1.2,2.4,69693,23159,4.0,2892,1375262
83,45,53,3136,576,317,3.2,1.8,182297,60670,3.6,3069,1546811
81,14,3,3542,360,259,3.4,1.2,458811,147720,2.0,225,1077714
0,14,12,1028,362,128,0.2,0.2,597656,620164,821.0,94,5
69,74,49,2688,176,103,11.0,32.2,57714,38484,7.0,314,1096333
80,7,1,4504,303,255,1.2,1.8,164442,165346,1.4,150,1000069
82,8,2,3000,342,265,3.0,2.2,280468,127589,4.2,1430,1043278
0,47,64,1364,432,273,0.6,0.6,965273,950976,52.0,75,25
92,0,0,2296,103,67,0.4,0.6,77486,18974,1.2,165,1011243
0,8,1,2091,237,165,2.2,4.0,127579,86009,844.0,87,11
98,0,0,238,38,11,0.2,0.2,243290,9658,1.4,7717,1882171
93,1,0,1987,63,98,0.4,0.4,3299,18693,2.2,679,1720187
72,38,29,2141,214,170,6.4,11.6,272617,86291,4.4,1117,1789931
75,18,5,7786,298,228,1.6,3.6,123860,36841,3.2,211,1447189
96,0,0,498,22,28,0.6,0.6,10200,11243,1.0,7680,1871328
81,2,2,4823,276,267,0.8,1.4,578780,116251,1.3,166,1017270
91,9,3,2374,164,141,1.0,2.4,14453,122037,1.5,301,1061539
78,9,1,4655,404,140,3.6,5.8,400425,55951,1.4,939,1048038
96,37,58,1061,76,45,0.2,0.2,1985,5799,1.0,611,1730464
92,0,0,209,16,29,0.2,0.2,5044,10538,2.6,2430,1772118
0,18,14,1344,412,179,0.4,0.4,595473,535206,343.0,89,11
81,4,0,4083,313,225,3.2,1.0,321786,73053,1.6,545,1015547
86,31,41,5305,225,177,0.2,0.2,58099,75714,2.0,371,1060971
98,0,0,605,80,37,0.2,0.2,284759,271101,2.4,1315,1762011
0,27,5,6777,1208,535,9.0,5.4,623272,213540,233.0,62,38
88,1,0,1136,108,53,0.6,0.6,139798,33742,1.6,505,1748077
86,1,0,2370,216,165,0.6,2.59,91492,123945,1.5,285,1102248
98,1,1,454,176,45,0.2,0.2,472554,211006,3.0,6830,1835902
62,42,0,3642,187,119,10.78,32.53,244853,34785,1.2,284,1092806
94,6,2,2029,93,83,0.6,0.6,93053,46509,5.0,363,1521069
95,23,32,707,52,30,0.2,0.2,87008,8167,1.4,136,1750139
93,6,4,1846,120,86,0.4,0.4,142277,54470,3.8,617,1061272
92,7,2,1150,111,119,0.8,0.8,52028,122409,1.0,407,1062686
79,16,3,5017,259,249,2.8,1.4,73537,237547,4.8,2114,988600
84,7,1,3909,172,113,3.79,4.39,140762,30751,1.5,242,1014125
0,18,12,1061,414,148,0.4,1.8,733653,636561,349.0,93,7
